digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,1462.0,0.3283917340521114,0.30103,3.9636998718212504,
2,790.0,0.17744833782569633,0.176091,0.21809652962033585,
3,710.0,0.15947888589398024,0.124939,6.947296860264594,
4,271.0,0.06087151841868823,0.09691,8.102867089953525,
5,244.0,0.05480682839173405,0.0791812,5.995248197721194,
6,320.0,0.07187780772686433,0.0669468,1.286439097318254,
7,136.0,0.030548068283917342,0.0579919,7.802439633621673,
8,297.0,0.06671159029649595,0.0511525,4.678255453284596,
