digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,2763.0,0.3061495844875346,0.30103,1.0488148407246611,
2,1608.0,0.17817174515235457,0.176091,0.5051427106524167,
3,1037.0,0.11490304709141275,0.124939,2.8675431197780323,
4,867.0,0.09606648199445983,0.09691,0.25308367115933617,
5,838.0,0.09285318559556786,0.0791812,4.79064119090963,
6,617.0,0.06836565096952908,0.0669468,0.5182561759117923,
7,477.0,0.05285318559556787,0.0579919,2.066138581923854,
8,402.0,0.04454293628808864,0.0511525,2.8262406554594084,
