digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,119.0,0.20411663807890223,0.30103,5.056190081122527,
2,69.0,0.1183533447684391,0.176091,3.605668800580907,
3,84.0,0.14408233276157806,0.124939,1.335296426072493,
4,77.0,0.1320754716981132,0.09691,2.800127612888964,
5,57.0,0.09777015437392796,0.0791812,1.585540179093356,
6,70.0,0.12006861063464837,0.0669468,5.049173385878072,
7,44.0,0.07547169811320754,0.0579919,1.7171604754624783,
8,45.0,0.07718696397941681,0.0511525,2.7593303768654924,
