digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,6470.0,0.3217144846104122,0.30103,6.387119759359079,
2,4050.0,0.20138232807916065,0.176091,9.407043071333693,
3,2262.0,0.11247575953458307,0.124939,5.3347297366295345,
4,1939.0,0.0964148973198747,0.09691,0.2254172783174688,
5,1311.0,0.06518820545969867,0.0791812,7.3359616348000865,
6,1182.0,0.05877380538014022,0.0669468,4.6233503664688635,
7,1059.0,0.05265774949032868,0.0579919,3.2213815722009493,
8,1026.0,0.0510168564467207,0.0511525,0.07131035201583717,
