digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,35767.0,0.2784269155619215,0.30103,17.658117717751306,
2,26501.0,0.2062960742949222,0.176091,28.418515459392253,
3,18685.0,0.1454527054903823,0.124939,22.23203299571342,
4,12592.0,0.09802196775675108,0.09691,1.3424718816405727,
5,8680.0,0.06756914549941227,0.0791812,15.408167509835335,
6,7191.0,0.055978078950031526,0.0669468,15.724230095955006,
7,6495.0,0.050560092168051005,0.0579919,11.390469411762936,
8,5933.0,0.046185223530877076,0.0511525,8.074802438399907,
