digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,2644.0,0.30210237659963435,0.30103,0.2070575766117737,
2,1498.0,0.17116087751371115,0.176091,1.1968540970849595,
3,1018.0,0.11631627056672761,0.124939,2.423501252952468,
4,901.0,0.10294789762340037,0.09691,1.8913015754508797,
5,813.0,0.09289305301645338,0.0791812,4.73084182240538,
6,590.0,0.06741316270566727,0.0669468,0.153181418935427,
7,530.0,0.060557586837294335,0.0579919,1.0040761405731222,
8,391.0,0.044675502742230346,0.0511525,2.7261395008008944,
