digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,69.0,1.0,0.30103,12.526305392275601,111.98410524565658
2,0.0,0.0,0.176091,3.6821678117148706,12.150279
3,0.0,0.0,0.124939,2.9566887650235376,8.620790999999999
4,0.0,0.0,0.09691,2.5176248469866906,6.686789999999999
5,0.0,0.0,0.0791812,2.212919406692988,5.4635028
6,0.0,0.0,0.0669468,1.9841926667328957,4.6193292
7,0.0,0.0,0.0579919,1.8034798414703477,4.0014411
8,0.0,0.0,0.0511525,1.655457348873986,3.5295224999999997
9,0.0,0.0,0.0457575,1.530911934526519,3.1572675
