digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,189.0,0.2816691505216095,0.30103,1.051250731047002,
2,92.0,0.13710879284649777,0.176091,2.6003837492109887,
3,132.0,0.19672131147540983,0.124939,5.565172659433306,
4,96.0,0.14307004470938897,0.09691,3.976579747037021,
5,55.0,0.08196721311475409,0.0791812,0.19578329292549748,
6,15.0,0.022354694485842028,0.0669468,4.544462508276913,
7,22.0,0.03278688524590164,0.0579919,2.7108420196158596,
8,24.0,0.03576751117734724,0.0511525,1.7213362799035035,
