digit,count,empirical,benford,zscore
0,0.0,0.0,0.0,NaN,
1,2344.0,0.2766761095372993,0.30103,4.874986762973676,
2,1652.0,0.19499527856468366,0.176091,4.553935951003133,
3,953.0,0.11248819641170917,0.124939,3.449520171678871,
4,878.0,0.10363550519357885,0.09691,2.0741502495075976,
5,745.0,0.08793673276676109,0.0791812,2.9644224037973173,
6,675.0,0.07967422096317281,0.0669468,4.665484274564075,
7,530.0,0.0625590179414542,0.0579919,1.775315427751131,
8,388.0,0.04579792256846081,0.0511525,2.212448569748746,
