country;variable;percentile;year;value;age;pop
SU;xlcyux999i;p0p100;2018;8.8912992;999;i
SU;xlcyup999i;p0p100;1970;0.0004143598;999;i
SU;xlcyup999i;p0p100;1971;0.0004043437;999;i
SU;xlcyup999i;p0p100;1972;0.0004026435;999;i
SU;xlcyup999i;p0p100;1973;0.0003952162;999;i
SU;xlcyup999i;p0p100;1974;0.0003941353;999;i
SU;xlcyup999i;p0p100;1975;0.000383722;999;i
SU;xlcyup999i;p0p100;1976;0.000371391;999;i
SU;xlcyup999i;p0p100;1977;0.0003737282;999;i
SU;xlcyup999i;p0p100;1978;0.0003744211;999;i
SU;xlcyup999i;p0p100;1979;0.0003624457;999;i
SU;xlcyup999i;p0p100;1980;0.0003437369;999;i
SU;xlcyup999i;p0p100;1981;0.0003472914;999;i
SU;xlcyup999i;p0p100;1982;0.000366279;999;i
SU;xlcyup999i;p0p100;1983;0.0003663445;999;i
SU;xlcyup999i;p0p100;1984;0.0003840737;999;i
SU;xlcyup999i;p0p100;1985;0.0003835694;999;i
SU;xlcyup999i;p0p100;1986;0.0003625688;999;i
SU;xlcyup999i;p0p100;1987;0.000346212;999;i
SU;xlcyup999i;p0p100;1988;0.0003075082;999;i
SU;xlcyup999i;p0p100;1989;0.00027361;999;i
SU;xlcyup999i;p0p100;1990;0.0002628128;999;i
SU;xlcyup999i;p0p100;1991;0.0006143437;999;i
SU;xlcyup999i;p0p100;1992;0.0089139361;999;i
SU;xlcyup999i;p0p100;1993;0.069438159;999;i
SU;xlcyup999i;p0p100;1994;0.2235679;999;i
SU;xlcyup999i;p0p100;1995;0.45531476;999;i
SU;xlcyup999i;p0p100;1996;0.59984148;999;i
SU;xlcyup999i;p0p100;1997;0.65133929;999;i
SU;xlcyup999i;p0p100;1998;0.76332927;999;i
SU;xlcyup999i;p0p100;1999;1.3133535;999;i
SU;xlcyup999i;p0p100;2000;1.7204717;999;i
SU;xlcyup999i;p0p100;2001;1.968737;999;i
SU;xlcyup999i;p0p100;2002;2.2766747;999;i
SU;xlcyup999i;p0p100;2003;2.514997;999;i
SU;xlcyup999i;p0p100;2004;2.8198335;999;i
SU;xlcyup999i;p0p100;2005;3.2272043;999;i
SU;xlcyup999i;p0p100;2006;3.594799;999;i
SU;xlcyup999i;p0p100;2007;3.8049576;999;i
SU;xlcyup999i;p0p100;2008;4.1633916;999;i
SU;xlcyup999i;p0p100;2009;4.3079967;999;i
SU;xlcyup999i;p0p100;2010;4.6011634;999;i
SU;xlcyup999i;p0p100;2011;4.935051;999;i
SU;xlcyup999i;p0p100;2012;5.2238135;999;i
SU;xlcyup999i;p0p100;2013;5.3833613;999;i
SU;xlcyup999i;p0p100;2014;5.7441082;999;i
SU;xlcyup999i;p0p100;2015;6.1950202;999;i
SU;xlcyup999i;p0p100;2016;6.6813326;999;i
SU;xlcyup999i;p0p100;2017;7.2058153;999;i
SU;xlcyup999i;p0p100;2018;7.7714777;999;i
SU;xlcusx999i;p0p100;2018;56.753868;999;i
SU;xlcusp999i;p0p100;1970;0.0006406442;999;i
SU;xlcusp999i;p0p100;1971;0.0006142218;999;i
SU;xlcusp999i;p0p100;1972;0.0005875815;999;i
SU;xlcusp999i;p0p100;1973;0.0005573203;999;i
SU;xlcusp999i;p0p100;1974;0.000515741;999;i
SU;xlcusp999i;p0p100;1975;0.0004664828;999;i
SU;xlcusp999i;p0p100;1976;0.00044594;999;i
SU;xlcusp999i;p0p100;1977;0.0004285964;999;i
SU;xlcusp999i;p0p100;1978;0.0004113203;999;i
SU;xlcusp999i;p0p100;1979;0.0003857432;999;i
SU;xlcusp999i;p0p100;1980;0.0003573168;999;i
SU;xlcusp999i;p0p100;1981;0.0003347746;999;i
SU;xlcusp999i;p0p100;1982;0.0003373521;999;i
SU;xlcusp999i;p0p100;1983;0.0003266711;999;i
SU;xlcusp999i;p0p100;1984;0.0003254113;999;i
SU;xlcusp999i;p0p100;1985;0.0003213672;999;i
SU;xlcusp999i;p0p100;1986;0.0003141064;999;i
SU;xlcusp999i;p0p100;1987;0.0003127524;999;i
SU;xlcusp999i;p0p100;1988;0.0003099947;999;i
SU;xlcusp999i;p0p100;1989;0.0003139532;999;i
SU;xlcusp999i;p0p100;1990;0.0003285388;999;i
SU;xlcusp999i;p0p100;1991;0.0007688742;999;i
SU;xlcusp999i;p0p100;1992;0.011910421;999;i
SU;xlcusp999i;p0p100;1993;0.11481961;999;i
SU;xlcusp999i;p0p100;1994;0.45829976;999;i
SU;xlcusp999i;p0p100;1995;1.0951664;999;i
SU;xlcusp999i;p0p100;1996;1.5610954;999;i
SU;xlcusp999i;p0p100;1997;1.7706285;999;i
SU;xlcusp999i;p0p100;1998;2.0632579;999;i
SU;xlcusp999i;p0p100;1999;3.5346382;999;i
SU;xlcusp999i;p0p100;2000;4.8297057;999;i
SU;xlcusp999i;p0p100;2001;5.4877672;999;i
SU;xlcusp999i;p0p100;2002;6.2385545;999;i
SU;xlcusp999i;p0p100;2003;6.9756274;999;i
SU;xlcusp999i;p0p100;2004;8.1129494;999;i
SU;xlcusp999i;p0p100;2005;9.392663;999;i
SU;xlcusp999i;p0p100;2006;10.505913;999;i
SU;xlcusp999i;p0p100;2007;11.63687;999;i
SU;xlcusp999i;p0p100;2008;13.45496;999;i
SU;xlcusp999i;p0p100;2009;13.566904;999;i
SU;xlcusp999i;p0p100;2010;15.247536;999;i
SU;xlcusp999i;p0p100;2011;17.299999;999;i
SU;xlcusp999i;p0p100;2012;18.239153;999;i
SU;xlcusp999i;p0p100;2013;18.852896;999;i
SU;xlcusp999i;p0p100;2014;19.866205;999;i
SU;xlcusp999i;p0p100;2015;21.062349;999;i
SU;xlcusp999i;p0p100;2016;22.333401;999;i
SU;xlcusp999i;p0p100;2017;23.493536;999;i
SU;xlcusp999i;p0p100;2018;24.628271;999;i
SU;xlceux999i;p0p100;2018;69.570343;999;i
SU;xlceup999i;p0p100;1995;1.3009646;999;i
SU;xlceup999i;p0p100;1996;1.8448772;999;i
SU;xlceup999i;p0p100;1997;2.1377182;999;i
SU;xlceup999i;p0p100;1998;2.4972003;999;i
SU;xlceup999i;p0p100;1999;4.2762532;999;i
SU;xlceup999i;p0p100;2000;5.8970137;999;i
SU;xlceup999i;p0p100;2001;6.7047486;999;i
SU;xlceup999i;p0p100;2002;7.5706258;999;i
SU;xlceup999i;p0p100;2003;8.4649277;999;i
SU;xlceup999i;p0p100;2004;9.930521;999;i
SU;xlceup999i;p0p100;2005;11.624789;999;i
SU;xlceup999i;p0p100;2006;13.130197;999;i
SU;xlceup999i;p0p100;2007;14.584321;999;i
SU;xlceup999i;p0p100;2008;16.857397;999;i
SU;xlceup999i;p0p100;2009;17.029346;999;i
SU;xlceup999i;p0p100;2010;19.317917;999;i
SU;xlceup999i;p0p100;2011;22.16843;999;i
SU;xlceup999i;p0p100;2012;23.51395;999;i
SU;xlceup999i;p0p100;2013;24.400925;999;i
SU;xlceup999i;p0p100;2014;25.920584;999;i
SU;xlceup999i;p0p100;2015;27.400211;999;i
SU;xlceup999i;p0p100;2016;29.113859;999;i
SU;xlceup999i;p0p100;2017;30.882118;999;i
SU;xlceup999i;p0p100;2018;32.654068;999;i
SU;npopul999m;p0p100;1950;79608120.0;999;m
SU;npopul999m;p0p100;1951;80985624.0;999;m
SU;npopul999m;p0p100;1952;82529536.0;999;m
SU;npopul999m;p0p100;1953;84193384.0;999;m
SU;npopul999m;p0p100;1954;85938528.0;999;m
SU;npopul999m;p0p100;1955;87733704.0;999;m
SU;npopul999m;p0p100;1956;89555752.0;999;m
SU;npopul999m;p0p100;1957;91389072.0;999;m
SU;npopul999m;p0p100;1958;93224800.0;999;m
SU;npopul999m;p0p100;1959;95059288.0;999;m
SU;npopul999m;p0p100;1960;96889560.0;999;m
SU;npopul999m;p0p100;1961;98708504.0;999;m
SU;npopul999m;p0p100;1962;100500560.0;999;m
SU;npopul999m;p0p100;1963;102240144.0;999;m
SU;npopul999m;p0p100;1964;103896448.0;999;m
SU;npopul999m;p0p100;1965;105448768.0;999;m
SU;npopul999m;p0p100;1966;106886080.0;999;m
SU;npopul999m;p0p100;1967;108216384.0;999;m
SU;npopul999m;p0p100;1968;109462728.0;999;m
SU;npopul999m;p0p100;1969;110659504.0;999;m
SU;npopul999m;p0p100;1970;111833552.0;999;m
SU;npopul999m;p0p100;1971;112993000.0;999;m
SU;npopul999m;p0p100;1972;114136632.0;999;m
SU;npopul999m;p0p100;1973;115271216.0;999;m
SU;npopul999m;p0p100;1974;116402288.0;999;m
SU;npopul999m;p0p100;1975;117534832.0;999;m
SU;npopul999m;p0p100;1976;118672888.0;999;m
SU;npopul999m;p0p100;1977;119821056.0;999;m
SU;npopul999m;p0p100;1978;120984800.0;999;m
SU;npopul999m;p0p100;1979;122169560.0;999;m
SU;npopul999m;p0p100;1980;123378552.0;999;m
SU;npopul999m;p0p100;1981;124602560.0;999;m
SU;npopul999m;p0p100;1982;125836904.0;999;m
SU;npopul999m;p0p100;1983;127092784.0;999;m
SU;npopul999m;p0p100;1984;128385680.0;999;m
SU;npopul999m;p0p100;1985;129718624.0;999;m
SU;npopul999m;p0p100;1986;131101056.0;999;m
SU;npopul999m;p0p100;1987;132505992.0;999;m
SU;npopul999m;p0p100;1988;133855336.0;999;m
SU;npopul999m;p0p100;1989;135045792.0;999;m
SU;npopul999m;p0p100;1990;136003168.0;999;m
SU;npopul999m;p0p100;1991;136702368.0;999;m
SU;npopul999m;p0p100;1992;137163328.0;999;m
SU;npopul999m;p0p100;1993;137414160.0;999;m
SU;npopul999m;p0p100;1994;137503040.0;999;m
SU;npopul999m;p0p100;1995;137470608.0;999;m
SU;npopul999m;p0p100;1996;137327328.0;999;m
SU;npopul999m;p0p100;1997;137077968.0;999;m
SU;npopul999m;p0p100;1998;136753392.0;999;m
SU;npopul999m;p0p100;1999;136389536.0;999;m
SU;npopul999m;p0p100;2000;136017984.0;999;m
SU;npopul999m;p0p100;2001;135654704.0;999;m
SU;npopul999m;p0p100;2002;135314208.0;999;m
SU;npopul999m;p0p100;2003;135024192.0;999;m
SU;npopul999m;p0p100;2004;134814096.0;999;m
SU;npopul999m;p0p100;2005;134706256.0;999;m
SU;npopul999m;p0p100;2006;134710928.0;999;m
SU;npopul999m;p0p100;2007;134829376.0;999;m
SU;npopul999m;p0p100;2008;135061472.0;999;m
SU;npopul999m;p0p100;2009;135402048.0;999;m
SU;npopul999m;p0p100;2010;135843312.0;999;m
SU;npopul999m;p0p100;2011;136385472.0;999;m
SU;npopul999m;p0p100;2012;137019264.0;999;m
SU;npopul999m;p0p100;2013;137714272.0;999;m
SU;npopul999m;p0p100;2014;138430880.0;999;m
SU;npopul999m;p0p100;2015;139137296.0;999;m
SU;npopul999m;p0p100;2016;139821344.0;999;m
SU;npopul999m;p0p100;2017;140478848.0;999;m
SU;npopul999m;p0p100;2018;141096224.0;999;m
SU;npopul999i;p0p100;1950;181035248.0;999;i
SU;npopul999i;p0p100;1951;183606208.0;999;i
SU;npopul999i;p0p100;1952;186518608.0;999;i
SU;npopul999i;p0p100;1953;189675664.0;999;i
SU;npopul999i;p0p100;1954;192996704.0;999;i
SU;npopul999i;p0p100;1955;196417568.0;999;i
SU;npopul999i;p0p100;1956;199890928.0;999;i
SU;npopul999i;p0p100;1957;203385872.0;999;i
SU;npopul999i;p0p100;1958;206885856.0;999;i
SU;npopul999i;p0p100;1959;210385408.0;999;i
SU;npopul999i;p0p100;1960;213880464.0;999;i
SU;npopul999i;p0p100;1961;217357728.0;999;i
SU;npopul999i;p0p100;1962;220785920.0;999;i
SU;npopul999i;p0p100;1963;224111520.0;999;i
SU;npopul999i;p0p100;1964;227269968.0;999;i
SU;npopul999i;p0p100;1965;230218368.0;999;i
SU;npopul999i;p0p100;1966;232931728.0;999;i
SU;npopul999i;p0p100;1967;235428224.0;999;i
SU;npopul999i;p0p100;1968;237762976.0;999;i
SU;npopul999i;p0p100;1969;240016832.0;999;i
SU;npopul999i;p0p100;1970;242251456.0;999;i
SU;npopul999i;p0p100;1971;244487280.0;999;i
SU;npopul999i;p0p100;1972;246716672.0;999;i
SU;npopul999i;p0p100;1973;248939808.0;999;i
SU;npopul999i;p0p100;1974;251148576.0;999;i
SU;npopul999i;p0p100;1975;253339328.0;999;i
SU;npopul999i;p0p100;1976;255514016.0;999;i
SU;npopul999i;p0p100;1977;257685504.0;999;i
SU;npopul999i;p0p100;1978;259873056.0;999;i
SU;npopul999i;p0p100;1979;262100480.0;999;i
SU;npopul999i;p0p100;1980;264383008.0;999;i
SU;npopul999i;p0p100;1981;266707712.0;999;i
SU;npopul999i;p0p100;1982;269060544.0;999;i
SU;npopul999i;p0p100;1983;271450944.0;999;i
SU;npopul999i;p0p100;1984;273891072.0;999;i
SU;npopul999i;p0p100;1985;276375488.0;999;i
SU;npopul999i;p0p100;1986;278917920.0;999;i
SU;npopul999i;p0p100;1987;281473728.0;999;i
SU;npopul999i;p0p100;1988;283907680.0;999;i
SU;npopul999i;p0p100;1989;286042528.0;999;i
SU;npopul999i;p0p100;1990;287751328.0;999;i
SU;npopul999i;p0p100;1991;288991360.0;999;i
SU;npopul999i;p0p100;1992;289797984.0;999;i
SU;npopul999i;p0p100;1993;290222144.0;999;i
SU;npopul999i;p0p100;1994;290350144.0;999;i
SU;npopul999i;p0p100;1995;290255744.0;999;i
SU;npopul999i;p0p100;1996;289958464.0;999;i
SU;npopul999i;p0p100;1997;289470080.0;999;i
SU;npopul999i;p0p100;1998;288851808.0;999;i
SU;npopul999i;p0p100;1999;288175296.0;999;i
SU;npopul999i;p0p100;2000;287502752.0;999;i
SU;npopul999i;p0p100;2001;286864096.0;999;i
SU;npopul999i;p0p100;2002;286285184.0;999;i
SU;npopul999i;p0p100;2003;285817216.0;999;i
SU;npopul999i;p0p100;2004;285514240.0;999;i
SU;npopul999i;p0p100;2005;285416128.0;999;i
SU;npopul999i;p0p100;2006;285542144.0;999;i
SU;npopul999i;p0p100;2007;285892320.0;999;i
SU;npopul999i;p0p100;2008;286459360.0;999;i
SU;npopul999i;p0p100;2009;287224576.0;999;i
SU;npopul999i;p0p100;2010;288166752.0;999;i
SU;npopul999i;p0p100;2011;289283104.0;999;i
SU;npopul999i;p0p100;2012;290556576.0;999;i
SU;npopul999i;p0p100;2013;291931424.0;999;i
SU;npopul999i;p0p100;2014;293336544.0;999;i
SU;npopul999i;p0p100;2015;294714176.0;999;i
SU;npopul999i;p0p100;2016;296041632.0;999;i
SU;npopul999i;p0p100;2017;297309920.0;999;i
SU;npopul999i;p0p100;2018;298493248.0;999;i
SU;npopul999f;p0p100;1950;101427160.0;999;f
SU;npopul999f;p0p100;1951;102620584.0;999;f
SU;npopul999f;p0p100;1952;103989120.0;999;f
SU;npopul999f;p0p100;1953;105482280.0;999;f
SU;npopul999f;p0p100;1954;107058200.0;999;f
SU;npopul999f;p0p100;1955;108683848.0;999;f
SU;npopul999f;p0p100;1956;110335200.0;999;f
SU;npopul999f;p0p100;1957;111996800.0;999;f
SU;npopul999f;p0p100;1958;113661048.0;999;f
SU;npopul999f;p0p100;1959;115326128.0;999;f
SU;npopul999f;p0p100;1960;116990896.0;999;f
SU;npopul999f;p0p100;1961;118649264.0;999;f
SU;npopul999f;p0p100;1962;120285344.0;999;f
SU;npopul999f;p0p100;1963;121871384.0;999;f
SU;npopul999f;p0p100;1964;123373552.0;999;f
SU;npopul999f;p0p100;1965;124769608.0;999;f
SU;npopul999f;p0p100;1966;126045664.0;999;f
SU;npopul999f;p0p100;1967;127211864.0;999;f
SU;npopul999f;p0p100;1968;128300240.0;999;f
SU;npopul999f;p0p100;1969;129357336.0;999;f
SU;npopul999f;p0p100;1970;130417888.0;999;f
SU;npopul999f;p0p100;1971;131494288.0;999;f
SU;npopul999f;p0p100;1972;132580072.0;999;f
SU;npopul999f;p0p100;1973;133668584.0;999;f
SU;npopul999f;p0p100;1974;134746272.0;999;f
SU;npopul999f;p0p100;1975;135804496.0;999;f
SU;npopul999f;p0p100;1976;136841136.0;999;f
SU;npopul999f;p0p100;1977;137864464.0;999;f
SU;npopul999f;p0p100;1978;138888224.0;999;f
SU;npopul999f;p0p100;1979;139930928.0;999;f
SU;npopul999f;p0p100;1980;141004448.0;999;f
SU;npopul999f;p0p100;1981;142105120.0;999;f
SU;npopul999f;p0p100;1982;143223664.0;999;f
SU;npopul999f;p0p100;1983;144358144.0;999;f
SU;npopul999f;p0p100;1984;145505360.0;999;f
SU;npopul999f;p0p100;1985;146656880.0;999;f
SU;npopul999f;p0p100;1986;147816864.0;999;f
SU;npopul999f;p0p100;1987;148967680.0;999;f
SU;npopul999f;p0p100;1988;150052368.0;999;f
SU;npopul999f;p0p100;1989;150996704.0;999;f
SU;npopul999f;p0p100;1990;151748144.0;999;f
SU;npopul999f;p0p100;1991;152288976.0;999;f
SU;npopul999f;p0p100;1992;152634624.0;999;f
SU;npopul999f;p0p100;1993;152808000.0;999;f
SU;npopul999f;p0p100;1994;152847120.0;999;f
SU;npopul999f;p0p100;1995;152785120.0;999;f
SU;npopul999f;p0p100;1996;152631120.0;999;f
SU;npopul999f;p0p100;1997;152392128.0;999;f
SU;npopul999f;p0p100;1998;152098432.0;999;f
SU;npopul999f;p0p100;1999;151785792.0;999;f
SU;npopul999f;p0p100;2000;151484720.0;999;f
SU;npopul999f;p0p100;2001;151209376.0;999;f
SU;npopul999f;p0p100;2002;150971008.0;999;f
SU;npopul999f;p0p100;2003;150793072.0;999;f
SU;npopul999f;p0p100;2004;150700128.0;999;f
SU;npopul999f;p0p100;2005;150709856.0;999;f
SU;npopul999f;p0p100;2006;150831216.0;999;f
SU;npopul999f;p0p100;2007;151062928.0;999;f
SU;npopul999f;p0p100;2008;151397824.0;999;f
SU;npopul999f;p0p100;2009;151822528.0;999;f
SU;npopul999f;p0p100;2010;152323456.0;999;f
SU;npopul999f;p0p100;2011;152897616.0;999;f
SU;npopul999f;p0p100;2012;153537296.0;999;f
SU;npopul999f;p0p100;2013;154217200.0;999;f
SU;npopul999f;p0p100;2014;154905632.0;999;f
SU;npopul999f;p0p100;2015;155576880.0;999;f
SU;npopul999f;p0p100;2016;156220288.0;999;f
SU;npopul999f;p0p100;2017;156831072.0;999;f
SU;npopul999f;p0p100;2018;157397024.0;999;f
SU;npopul998m;p0p100;1950;425363.0;998;m
SU;npopul998m;p0p100;1951;451860.0;998;m
SU;npopul998m;p0p100;1952;477862.0;998;m
SU;npopul998m;p0p100;1953;498797.0;998;m
SU;npopul998m;p0p100;1954;510983.0;998;m
SU;npopul998m;p0p100;1955;511904.0;998;m
SU;npopul998m;p0p100;1956;544751.0;998;m
SU;npopul998m;p0p100;1957;566867.0;998;m
SU;npopul998m;p0p100;1958;577809.0;998;m
SU;npopul998m;p0p100;1959;578219.0;998;m
SU;npopul998m;p0p100;1960;567957.0;998;m
SU;npopul998m;p0p100;1961;607981.0;998;m
SU;npopul998m;p0p100;1962;642040.0;998;m
SU;npopul998m;p0p100;1963;668926.0;998;m
SU;npopul998m;p0p100;1964;686749.0;998;m
SU;npopul998m;p0p100;1965;693268.0;998;m
SU;npopul998m;p0p100;1966;738547.0;998;m
SU;npopul998m;p0p100;1967;772604.0;998;m
SU;npopul998m;p0p100;1968;793715.0;998;m
SU;npopul998m;p0p100;1969;799458.0;998;m
SU;npopul998m;p0p100;1970;787690.0;998;m
SU;npopul998m;p0p100;1971;829578.0;998;m
SU;npopul998m;p0p100;1972;860164.0;998;m
SU;npopul998m;p0p100;1973;878940.0;998;m
SU;npopul998m;p0p100;1974;883083.0;998;m
SU;npopul998m;p0p100;1975;868883.0;998;m
SU;npopul998m;p0p100;1976;902557.0;998;m
SU;npopul998m;p0p100;1977;922162.0;998;m
SU;npopul998m;p0p100;1978;930214.0;998;m
SU;npopul998m;p0p100;1979;928409.0;998;m
SU;npopul998m;p0p100;1980;915774.0;998;m
SU;npopul998m;p0p100;1981;970321.0;998;m
SU;npopul998m;p0p100;1982;1010587.0;998;m
SU;npopul998m;p0p100;1983;1035604.0;998;m
SU;npopul998m;p0p100;1984;1045462.0;998;m
SU;npopul998m;p0p100;1985;1038391.0;998;m
SU;npopul998m;p0p100;1986;1111480.0;998;m
SU;npopul998m;p0p100;1987;1166612.0;998;m
SU;npopul998m;p0p100;1988;1203693.0;998;m
SU;npopul998m;p0p100;1989;1224610.0;998;m
SU;npopul998m;p0p100;1990;1227831.0;998;m
SU;npopul998m;p0p100;1991;1309921.0;998;m
SU;npopul998m;p0p100;1992;1376818.0;998;m
SU;npopul998m;p0p100;1993;1408620.0;998;m
SU;npopul998m;p0p100;1994;1384061.0;998;m
SU;npopul998m;p0p100;1995;1298788.0;998;m
SU;npopul998m;p0p100;1996;1300912.0;998;m
SU;npopul998m;p0p100;1997;1268842.0;998;m
SU;npopul998m;p0p100;1998;1210494.0;998;m
SU;npopul998m;p0p100;1999;1132499.0;998;m
SU;npopul998m;p0p100;2000;1037545.0;998;m
SU;npopul998m;p0p100;2001;1065241.0;998;m
SU;npopul998m;p0p100;2002;1073100.0;998;m
SU;npopul998m;p0p100;2003;1078412.0;998;m
SU;npopul998m;p0p100;2004;1101787.0;998;m
SU;npopul998m;p0p100;2005;1143078.0;998;m
SU;npopul998m;p0p100;2006;1324332.0;998;m
SU;npopul998m;p0p100;2007;1519972.0;998;m
SU;npopul998m;p0p100;2008;1693494.0;998;m
SU;npopul998m;p0p100;2009;1802909.0;998;m
SU;npopul998m;p0p100;2010;1830260.0;998;m
SU;npopul998m;p0p100;2011;1906815.0;998;m
SU;npopul998m;p0p100;2012;1922553.0;998;m
SU;npopul998m;p0p100;2013;1912725.0;998;m
SU;npopul998m;p0p100;2014;1916665.0;998;m
SU;npopul998m;p0p100;2015;1941213.0;998;m
SU;npopul998m;p0p100;2016;2122232.0;998;m
SU;npopul998m;p0p100;2017;2304104.0;998;m
SU;npopul998m;p0p100;2018;2438300.0;998;m
SU;npopul998f;p0p100;1950;1016741.0;998;f
SU;npopul998f;p0p100;1951;1067627.0;998;f
SU;npopul998f;p0p100;1952;1123361.0;998;f
SU;npopul998f;p0p100;1953;1173935.0;998;f
SU;npopul998f;p0p100;1954;1210776.0;998;f
SU;npopul998f;p0p100;1955;1229737.0;998;f
SU;npopul998f;p0p100;1956;1300021.0;998;f
SU;npopul998f;p0p100;1957;1346212.0;998;f
SU;npopul998f;p0p100;1958;1369040.0;998;f
SU;npopul998f;p0p100;1959;1373113.0;998;f
SU;npopul998f;p0p100;1960;1362390.0;998;f
SU;npopul998f;p0p100;1961;1447095.0;998;f
SU;npopul998f;p0p100;1962;1526535.0;998;f
SU;npopul998f;p0p100;1963;1600311.0;998;f
SU;npopul998f;p0p100;1964;1666765.0;998;f
SU;npopul998f;p0p100;1965;1723938.0;998;f
SU;npopul998f;p0p100;1966;1845795.0;998;f
SU;npopul998f;p0p100;1967;1958922.0;998;f
SU;npopul998f;p0p100;1968;2058992.0;998;f
SU;npopul998f;p0p100;1969;2134665.0;998;f
SU;npopul998f;p0p100;1970;2176438.0;998;f
SU;npopul998f;p0p100;1971;2267295.0;998;f
SU;npopul998f;p0p100;1972;2326729.0;998;f
SU;npopul998f;p0p100;1973;2366745.0;998;f
SU;npopul998f;p0p100;1974;2396225.0;998;f
SU;npopul998f;p0p100;1975;2415685.0;998;f
SU;npopul998f;p0p100;1976;2518639.0;998;f
SU;npopul998f;p0p100;1977;2597862.0;998;f
SU;npopul998f;p0p100;1978;2659380.0;998;f
SU;npopul998f;p0p100;1979;2714441.0;998;f
SU;npopul998f;p0p100;1980;2771205.0;998;f
SU;npopul998f;p0p100;1981;2962892.0;998;f
SU;npopul998f;p0p100;1982;3137763.0;998;f
SU;npopul998f;p0p100;1983;3285735.0;998;f
SU;npopul998f;p0p100;1984;3401760.0;998;f
SU;npopul998f;p0p100;1985;3487820.0;998;f
SU;npopul998f;p0p100;1986;3700831.0;998;f
SU;npopul998f;p0p100;1987;3874841.0;998;f
SU;npopul998f;p0p100;1988;4019423.0;998;f
SU;npopul998f;p0p100;1989;4148737.0;998;f
SU;npopul998f;p0p100;1990;4267402.0;998;f
SU;npopul998f;p0p100;1991;4503310.0;998;f
SU;npopul998f;p0p100;1992;4715732.0;998;f
SU;npopul998f;p0p100;1993;4858591.0;998;f
SU;npopul998f;p0p100;1994;4874545.0;998;f
SU;npopul998f;p0p100;1995;4747046.0;998;f
SU;npopul998f;p0p100;1996;4726143.0;998;f
SU;npopul998f;p0p100;1997;4584834.0;998;f
SU;npopul998f;p0p100;1998;4373298.0;998;f
SU;npopul998f;p0p100;1999;4149650.0;998;f
SU;npopul998f;p0p100;2000;3941442.0;998;f
SU;npopul998f;p0p100;2001;4026934.0;998;f
SU;npopul998f;p0p100;2002;4091840.0;998;f
SU;npopul998f;p0p100;2003;4142692.0;998;f
SU;npopul998f;p0p100;2004;4195472.0;998;f
SU;npopul998f;p0p100;2005;4257617.0;998;f
SU;npopul998f;p0p100;2006;4599174.0;998;f
SU;npopul998f;p0p100;2007;4955320.0;998;f
SU;npopul998f;p0p100;2008;5269296.0;998;f
SU;npopul998f;p0p100;2009;5468159.0;998;f
SU;npopul998f;p0p100;2010;5522896.0;998;f
SU;npopul998f;p0p100;2011;5645103.0;998;f
SU;npopul998f;p0p100;2012;5634367.0;998;f
SU;npopul998f;p0p100;2013;5572776.0;998;f
SU;npopul998f;p0p100;2014;5560259.0;998;f
SU;npopul998f;p0p100;2015;5637367.0;998;f
SU;npopul998f;p0p100;2016;6005852.0;998;f
SU;npopul998f;p0p100;2017;6415312.0;998;f
SU;npopul998f;p0p100;2018;6773487.0;998;f
SU;npopul997m;p0p100;1950;3795227.0;997;m
SU;npopul997m;p0p100;1951;3886471.0;997;m
SU;npopul997m;p0p100;1952;3996737.0;997;m
SU;npopul997m;p0p100;1953;4100985.0;997;m
SU;npopul997m;p0p100;1954;4190096.0;997;m
SU;npopul997m;p0p100;1955;4264080.0;997;m
SU;npopul997m;p0p100;1956;4364044.0;997;m
SU;npopul997m;p0p100;1957;4448862.0;997;m
SU;npopul997m;p0p100;1958;4519111.0;997;m
SU;npopul997m;p0p100;1959;4576380.0;997;m
SU;npopul997m;p0p100;1960;4622754.0;997;m
SU;npopul997m;p0p100;1961;4733412.0;997;m
SU;npopul997m;p0p100;1962;4830385.0;997;m
SU;npopul997m;p0p100;1963;4919231.0;997;m
SU;npopul997m;p0p100;1964;5007152.0;997;m
SU;npopul997m;p0p100;1965;5100242.0;997;m
SU;npopul997m;p0p100;1966;5227602.0;997;m
SU;npopul997m;p0p100;1967;5356891.0;997;m
SU;npopul997m;p0p100;1968;5491666.0;997;m
SU;npopul997m;p0p100;1969;5633159.0;997;m
SU;npopul997m;p0p100;1970;5781026.0;997;m
SU;npopul997m;p0p100;1971;5993374.0;997;m
SU;npopul997m;p0p100;1972;6182033.0;997;m
SU;npopul997m;p0p100;1973;6353979.0;997;m
SU;npopul997m;p0p100;1974;6524244.0;997;m
SU;npopul997m;p0p100;1975;6701264.0;997;m
SU;npopul997m;p0p100;1976;6925521.0;997;m
SU;npopul997m;p0p100;1977;7163417.0;997;m
SU;npopul997m;p0p100;1978;7377898.0;997;m
SU;npopul997m;p0p100;1979;7514447.0;997;m
SU;npopul997m;p0p100;1980;7548703.0;997;m
SU;npopul997m;p0p100;1981;7561649.0;997;m
SU;npopul997m;p0p100;1982;7490231.0;997;m
SU;npopul997m;p0p100;1983;7370223.0;997;m
SU;npopul997m;p0p100;1984;7248367.0;997;m
SU;npopul997m;p0p100;1985;7152637.0;997;m
SU;npopul997m;p0p100;1986;7177538.0;997;m
SU;npopul997m;p0p100;1987;7204611.0;997;m
SU;npopul997m;p0p100;1988;7271379.0;997;m
SU;npopul997m;p0p100;1989;7430869.0;997;m
