country;variable;percentile;year;value;age;pop
KR;npopul702f;p0p100;1950;134281.0;702;f
KR;npopul702f;p0p100;1951;141999.0;702;f
KR;npopul702f;p0p100;1952;149858.0;702;f
KR;npopul702f;p0p100;1953;157609.0;702;f
KR;npopul702f;p0p100;1954;165326.0;702;f
KR;npopul702f;p0p100;1955;173220.0;702;f
KR;npopul702f;p0p100;1956;185115.0;702;f
KR;npopul702f;p0p100;1957;197521.0;702;f
KR;npopul702f;p0p100;1958;210246.0;702;f
KR;npopul702f;p0p100;1959;223048.0;702;f
KR;npopul702f;p0p100;1960;235858.0;702;f
KR;npopul702f;p0p100;1961;248620.0;702;f
KR;npopul702f;p0p100;1962;261211.0;702;f
KR;npopul702f;p0p100;1963;272582.0;702;f
KR;npopul702f;p0p100;1964;282829.0;702;f
KR;npopul702f;p0p100;1965;291672.0;702;f
KR;npopul702f;p0p100;1966;299644.0;702;f
KR;npopul702f;p0p100;1967;307694.0;702;f
KR;npopul702f;p0p100;1968;316150.0;702;f
KR;npopul702f;p0p100;1969;323574.0;702;f
KR;npopul702f;p0p100;1970;329990.0;702;f
KR;npopul702f;p0p100;1971;334131.0;702;f
KR;npopul702f;p0p100;1972;336495.0;702;f
KR;npopul702f;p0p100;1973;340675.0;702;f
KR;npopul702f;p0p100;1974;347788.0;702;f
KR;npopul702f;p0p100;1975;360647.0;702;f
KR;npopul702f;p0p100;1976;371789.0;702;f
KR;npopul702f;p0p100;1977;384277.0;702;f
KR;npopul702f;p0p100;1978;399206.0;702;f
KR;npopul702f;p0p100;1979;417578.0;702;f
KR;npopul702f;p0p100;1980;439375.0;702;f
KR;npopul702f;p0p100;1981;459201.0;702;f
KR;npopul702f;p0p100;1982;481061.0;702;f
KR;npopul702f;p0p100;1983;503511.0;702;f
KR;npopul702f;p0p100;1984;524782.0;702;f
KR;npopul702f;p0p100;1985;543532.0;702;f
KR;npopul702f;p0p100;1986;556701.0;702;f
KR;npopul702f;p0p100;1987;569364.0;702;f
KR;npopul702f;p0p100;1988;583789.0;702;f
KR;npopul702f;p0p100;1989;603274.0;702;f
KR;npopul702f;p0p100;1990;631638.0;702;f
KR;npopul702f;p0p100;1991;658033.0;702;f
KR;npopul702f;p0p100;1992;688894.0;702;f
KR;npopul702f;p0p100;1993;722880.0;702;f
KR;npopul702f;p0p100;1994;758460.0;702;f
KR;npopul702f;p0p100;1995;794619.0;702;f
KR;npopul702f;p0p100;1996;823288.0;702;f
KR;npopul702f;p0p100;1997;853868.0;702;f
KR;npopul702f;p0p100;1998;885028.0;702;f
KR;npopul702f;p0p100;1999;921736.0;702;f
KR;npopul702f;p0p100;2000;965807.0;702;f
KR;npopul702f;p0p100;2001;1007612.0;702;f
KR;npopul702f;p0p100;2002;1053114.0;702;f
KR;npopul702f;p0p100;2003;1102629.0;702;f
KR;npopul702f;p0p100;2004;1154657.0;702;f
KR;npopul702f;p0p100;2005;1208743.0;702;f
KR;npopul702f;p0p100;2006;1267805.0;702;f
KR;npopul702f;p0p100;2007;1331549.0;702;f
KR;npopul702f;p0p100;2008;1401180.0;702;f
KR;npopul702f;p0p100;2009;1465187.0;702;f
KR;npopul702f;p0p100;2010;1524455.0;702;f
KR;npopul702f;p0p100;2011;1572968.0;702;f
KR;npopul702f;p0p100;2012;1620747.0;702;f
KR;npopul702f;p0p100;2013;1672762.0;702;f
KR;npopul702f;p0p100;2014;1734724.0;702;f
KR;npopul702f;p0p100;2015;1797039.0;702;f
KR;npopul702f;p0p100;2016;1837400.0;702;f
KR;npopul702f;p0p100;2017;1876803.0;702;f
KR;npopul702f;p0p100;2018;1914015.0;702;f
KR;npopul701m;p0p100;1950;67496.0;701;m
KR;npopul701m;p0p100;1951;70630.0;701;m
KR;npopul701m;p0p100;1952;72809.0;701;m
KR;npopul701m;p0p100;1953;74830.0;701;m
KR;npopul701m;p0p100;1954;77668.0;701;m
KR;npopul701m;p0p100;1955;81599.0;701;m
KR;npopul701m;p0p100;1956;87797.0;701;m
KR;npopul701m;p0p100;1957;94612.0;701;m
KR;npopul701m;p0p100;1958;101194.0;701;m
KR;npopul701m;p0p100;1959;106525.0;701;m
KR;npopul701m;p0p100;1960;110292.0;701;m
KR;npopul701m;p0p100;1961;113207.0;701;m
KR;npopul701m;p0p100;1962;114801.0;701;m
KR;npopul701m;p0p100;1963;115714.0;701;m
KR;npopul701m;p0p100;1964;117157.0;701;m
KR;npopul701m;p0p100;1965;119372.0;701;m
KR;npopul701m;p0p100;1966;122803.0;701;m
KR;npopul701m;p0p100;1967;127068.0;701;m
KR;npopul701m;p0p100;1968;131295.0;701;m
KR;npopul701m;p0p100;1969;133675.0;701;m
KR;npopul701m;p0p100;1970;133879.0;701;m
KR;npopul701m;p0p100;1971;132816.0;701;m
KR;npopul701m;p0p100;1972;129286.0;701;m
KR;npopul701m;p0p100;1973;126598.0;701;m
KR;npopul701m;p0p100;1974;127445.0;701;m
KR;npopul701m;p0p100;1975;133562.0;701;m
KR;npopul701m;p0p100;1976;143236.0;701;m
KR;npopul701m;p0p100;1977;155247.0;701;m
KR;npopul701m;p0p100;1978;167429.0;701;m
KR;npopul701m;p0p100;1979;177253.0;701;m
KR;npopul701m;p0p100;1980;183719.0;701;m
KR;npopul701m;p0p100;1981;188536.0;701;m
KR;npopul701m;p0p100;1982;191007.0;701;m
KR;npopul701m;p0p100;1983;192520.0;701;m
KR;npopul701m;p0p100;1984;194601.0;701;m
KR;npopul701m;p0p100;1985;197707.0;701;m
KR;npopul701m;p0p100;1986;203202.0;701;m
KR;npopul701m;p0p100;1987;209050.0;701;m
KR;npopul701m;p0p100;1988;215937.0;701;m
KR;npopul701m;p0p100;1989;224952.0;701;m
KR;npopul701m;p0p100;1990;237385.0;701;m
KR;npopul701m;p0p100;1991;251393.0;701;m
KR;npopul701m;p0p100;1992;267479.0;701;m
KR;npopul701m;p0p100;1993;283387.0;701;m
KR;npopul701m;p0p100;1994;296265.0;701;m
KR;npopul701m;p0p100;1995;305026.0;701;m
KR;npopul701m;p0p100;1996;309667.0;701;m
KR;npopul701m;p0p100;1997;311859.0;701;m
KR;npopul701m;p0p100;1998;314048.0;701;m
KR;npopul701m;p0p100;1999;321593.0;701;m
KR;npopul701m;p0p100;2000;336771.0;701;m
KR;npopul701m;p0p100;2001;356771.0;701;m
KR;npopul701m;p0p100;2002;380561.0;701;m
KR;npopul701m;p0p100;2003;408012.0;701;m
KR;npopul701m;p0p100;2004;438742.0;701;m
KR;npopul701m;p0p100;2005;472708.0;701;m
KR;npopul701m;p0p100;2006;512148.0;701;m
KR;npopul701m;p0p100;2007;557163.0;701;m
KR;npopul701m;p0p100;2008;605063.0;701;m
KR;npopul701m;p0p100;2009;645987.0;701;m
KR;npopul701m;p0p100;2010;677873.0;701;m
KR;npopul701m;p0p100;2011;697409.0;701;m
KR;npopul701m;p0p100;2012;712645.0;701;m
KR;npopul701m;p0p100;2013;731729.0;701;m
KR;npopul701m;p0p100;2014;761184.0;701;m
KR;npopul701m;p0p100;2015;795384.0;701;m
KR;npopul701m;p0p100;2016;821469.0;701;m
KR;npopul701m;p0p100;2017;849401.0;701;m
KR;npopul701m;p0p100;2018;878453.0;701;m
KR;npopul701i;p0p100;1950;162981.0;701;i
KR;npopul701i;p0p100;1951;170283.0;701;i
KR;npopul701i;p0p100;1952;174622.0;701;i
KR;npopul701i;p0p100;1953;178395.0;701;i
KR;npopul701i;p0p100;1954;184432.0;701;i
KR;npopul701i;p0p100;1955;193661.0;701;i
KR;npopul701i;p0p100;1956;208662.0;701;i
KR;npopul701i;p0p100;1957;225842.0;701;i
KR;npopul701i;p0p100;1958;243093.0;701;i
KR;npopul701i;p0p100;1959;257748.0;701;i
KR;npopul701i;p0p100;1960;268821.0;701;i
KR;npopul701i;p0p100;1961;277120.0;701;i
KR;npopul701i;p0p100;1962;282594.0;701;i
KR;npopul701i;p0p100;1963;286373.0;701;i
KR;npopul701i;p0p100;1964;290989.0;701;i
KR;npopul701i;p0p100;1965;296917.0;701;i
KR;npopul701i;p0p100;1966;304353.0;701;i
KR;npopul701i;p0p100;1967;313676.0;701;i
KR;npopul701i;p0p100;1968;323517.0;701;i
KR;npopul701i;p0p100;1969;330222.0;701;i
KR;npopul701i;p0p100;1970;333011.0;701;i
KR;npopul701i;p0p100;1971;332212.0;701;i
KR;npopul701i;p0p100;1972;326886.0;701;i
KR;npopul701i;p0p100;1973;323601.0;701;i
KR;npopul701i;p0p100;1974;327365.0;701;i
KR;npopul701i;p0p100;1975;342286.0;701;i
KR;npopul701i;p0p100;1976;361858.0;701;i
KR;npopul701i;p0p100;1977;386776.0;701;i
KR;npopul701i;p0p100;1978;413803.0;701;i
KR;npopul701i;p0p100;1979;438892.0;701;i
KR;npopul701i;p0p100;1980;460064.0;701;i
KR;npopul701i;p0p100;1981;476152.0;701;i
KR;npopul701i;p0p100;1982;489800.0;701;i
KR;npopul701i;p0p100;1983;502099.0;701;i
KR;npopul701i;p0p100;1984;514109.0;701;i
KR;npopul701i;p0p100;1985;525708.0;701;i
KR;npopul701i;p0p100;1986;536141.0;701;i
KR;npopul701i;p0p100;1987;546096.0;701;i
KR;npopul701i;p0p100;1988;558601.0;701;i
KR;npopul701i;p0p100;1989;578330.0;701;i
KR;npopul701i;p0p100;1990;609585.0;701;i
KR;npopul701i;p0p100;1991;643693.0;701;i
KR;npopul701i;p0p100;1992;685690.0;701;i
KR;npopul701i;p0p100;1993;729722.0;701;i
KR;npopul701i;p0p100;1994;768195.0;701;i
KR;npopul701i;p0p100;1995;797550.0;701;i
KR;npopul701i;p0p100;1996;813922.0;701;i
KR;npopul701i;p0p100;1997;824489.0;701;i
KR;npopul701i;p0p100;1998;834191.0;701;i
KR;npopul701i;p0p100;1999;856000.0;701;i
KR;npopul701i;p0p100;2000;895419.0;701;i
KR;npopul701i;p0p100;2001;943784.0;701;i
KR;npopul701i;p0p100;2002;1002812.0;701;i
KR;npopul701i;p0p100;2003;1068917.0;701;i
KR;npopul701i;p0p100;2004;1135963.0;701;i
KR;npopul701i;p0p100;2005;1201183.0;701;i
KR;npopul701i;p0p100;2006;1270477.0;701;i
KR;npopul701i;p0p100;2007;1343461.0;701;i
KR;npopul701i;p0p100;2008;1419755.0;701;i
KR;npopul701i;p0p100;2009;1485210.0;701;i
KR;npopul701i;p0p100;2010;1539741.0;701;i
KR;npopul701i;p0p100;2011;1581671.0;701;i
KR;npopul701i;p0p100;2012;1618573.0;701;i
KR;npopul701i;p0p100;2013;1660820.0;701;i
KR;npopul701i;p0p100;2014;1718242.0;701;i
KR;npopul701i;p0p100;2015;1779849.0;701;i
KR;npopul701i;p0p100;2016;1822617.0;701;i
KR;npopul701i;p0p100;2017;1867672.0;701;i
KR;npopul701i;p0p100;2018;1914293.0;701;i
KR;npopul701f;p0p100;1950;95484.0;701;f
KR;npopul701f;p0p100;1951;99716.0;701;f
KR;npopul701f;p0p100;1952;101880.0;701;f
KR;npopul701f;p0p100;1953;103611.0;701;f
KR;npopul701f;p0p100;1954;106789.0;701;f
KR;npopul701f;p0p100;1955;112060.0;701;f
KR;npopul701f;p0p100;1956;120836.0;701;f
KR;npopul701f;p0p100;1957;131185.0;701;f
KR;npopul701f;p0p100;1958;141852.0;701;f
KR;npopul701f;p0p100;1959;151192.0;701;f
KR;npopul701f;p0p100;1960;158525.0;701;f
KR;npopul701f;p0p100;1961;163888.0;701;f
KR;npopul701f;p0p100;1962;167761.0;701;f
KR;npopul701f;p0p100;1963;170629.0;701;f
KR;npopul701f;p0p100;1964;173814.0;701;f
KR;npopul701f;p0p100;1965;177544.0;701;f
KR;npopul701f;p0p100;1966;181541.0;701;f
KR;npopul701f;p0p100;1967;186597.0;701;f
KR;npopul701f;p0p100;1968;192214.0;701;f
KR;npopul701f;p0p100;1969;196541.0;701;f
KR;npopul701f;p0p100;1970;199133.0;701;f
KR;npopul701f;p0p100;1971;199402.0;701;f
KR;npopul701f;p0p100;1972;197608.0;701;f
KR;npopul701f;p0p100;1973;197014.0;701;f
KR;npopul701f;p0p100;1974;199928.0;701;f
KR;npopul701f;p0p100;1975;208722.0;701;f
KR;npopul701f;p0p100;1976;218633.0;701;f
KR;npopul701f;p0p100;1977;231545.0;701;f
KR;npopul701f;p0p100;1978;246383.0;701;f
KR;npopul701f;p0p100;1979;261644.0;701;f
KR;npopul701f;p0p100;1980;276345.0;701;f
KR;npopul701f;p0p100;1981;287609.0;701;f
KR;npopul701f;p0p100;1982;298786.0;701;f
KR;npopul701f;p0p100;1983;309572.0;701;f
KR;npopul701f;p0p100;1984;319500.0;701;f
KR;npopul701f;p0p100;1985;328000.0;701;f
KR;npopul701f;p0p100;1986;332925.0;701;f
KR;npopul701f;p0p100;1987;337032.0;701;f
KR;npopul701f;p0p100;1988;342660.0;701;f
KR;npopul701f;p0p100;1989;353380.0;701;f
KR;npopul701f;p0p100;1990;372201.0;701;f
KR;npopul701f;p0p100;1991;392322.0;701;f
KR;npopul701f;p0p100;1992;418234.0;701;f
KR;npopul701f;p0p100;1993;446348.0;701;f
KR;npopul701f;p0p100;1994;471933.0;701;f
KR;npopul701f;p0p100;1995;492522.0;701;f
KR;npopul701f;p0p100;1996;504263.0;701;f
KR;npopul701f;p0p100;1997;512640.0;701;f
KR;npopul701f;p0p100;1998;520152.0;701;f
KR;npopul701f;p0p100;1999;534409.0;701;f
KR;npopul701f;p0p100;2000;558646.0;701;f
KR;npopul701f;p0p100;2001;586984.0;701;f
KR;npopul701f;p0p100;2002;622226.0;701;f
KR;npopul701f;p0p100;2003;660900.0;701;f
KR;npopul701f;p0p100;2004;697226.0;701;f
KR;npopul701f;p0p100;2005;728473.0;701;f
KR;npopul701f;p0p100;2006;758380.0;701;f
KR;npopul701f;p0p100;2007;786359.0;701;f
KR;npopul701f;p0p100;2008;814739.0;701;f
KR;npopul701f;p0p100;2009;839245.0;701;f
KR;npopul701f;p0p100;2010;861868.0;701;f
KR;npopul701f;p0p100;2011;884260.0;701;f
KR;npopul701f;p0p100;2012;905925.0;701;f
KR;npopul701f;p0p100;2013;929089.0;701;f
KR;npopul701f;p0p100;2014;957056.0;701;f
KR;npopul701f;p0p100;2015;984464.0;701;f
KR;npopul701f;p0p100;2016;1001138.0;701;f
KR;npopul701f;p0p100;2017;1018261.0;701;f
KR;npopul701f;p0p100;2018;1035835.0;701;f
KR;npopul651m;p0p100;1950;121798.0;651;m
KR;npopul651m;p0p100;1951;129394.0;651;m
KR;npopul651m;p0p100;1952;138433.0;651;m
KR;npopul651m;p0p100;1953;147309.0;651;m
KR;npopul651m;p0p100;1954;154099.0;651;m
KR;npopul651m;p0p100;1955;158045.0;651;m
KR;npopul651m;p0p100;1956;161530.0;651;m
KR;npopul651m;p0p100;1957;162911.0;651;m
KR;npopul651m;p0p100;1958;163688.0;651;m
KR;npopul651m;p0p100;1959;165638.0;651;m
KR;npopul651m;p0p100;1960;169556.0;651;m
KR;npopul651m;p0p100;1961;174555.0;651;m
KR;npopul651m;p0p100;1962;181115.0;651;m
KR;npopul651m;p0p100;1963;187324.0;651;m
KR;npopul651m;p0p100;1964;191464.0;651;m
KR;npopul651m;p0p100;1965;192632.0;651;m
KR;npopul651m;p0p100;1966;191189.0;651;m
KR;npopul651m;p0p100;1967;187259.0;651;m
KR;npopul651m;p0p100;1968;184123.0;651;m
KR;npopul651m;p0p100;1969;185171.0;651;m
KR;npopul651m;p0p100;1970;192274.0;651;m
KR;npopul651m;p0p100;1971;203571.0;651;m
KR;npopul651m;p0p100;1972;218241.0;651;m
KR;npopul651m;p0p100;1973;234299.0;651;m
KR;npopul651m;p0p100;1974;247486.0;651;m
KR;npopul651m;p0p100;1975;257705.0;651;m
KR;npopul651m;p0p100;1976;263660.0;651;m
KR;npopul651m;p0p100;1977;265905.0;651;m
KR;npopul651m;p0p100;1978;266735.0;651;m
KR;npopul651m;p0p100;1979;268816.0;651;m
KR;npopul651m;p0p100;1980;273311.0;651;m
KR;npopul651m;p0p100;1981;278845.0;651;m
KR;npopul651m;p0p100;1982;285088.0;651;m
KR;npopul651m;p0p100;1983;292451.0;651;m
KR;npopul651m;p0p100;1984;301759.0;651;m
KR;npopul651m;p0p100;1985;313011.0;651;m
KR;npopul651m;p0p100;1986;326824.0;651;m
KR;npopul651m;p0p100;1987;343727.0;651;m
KR;npopul651m;p0p100;1988;361169.0;651;m
KR;npopul651m;p0p100;1989;375865.0;651;m
KR;npopul651m;p0p100;1990;387717.0;651;m
KR;npopul651m;p0p100;1991;393014.0;651;m
KR;npopul651m;p0p100;1992;394351.0;651;m
KR;npopul651m;p0p100;1993;395445.0;651;m
KR;npopul651m;p0p100;1994;401676.0;651;m
KR;npopul651m;p0p100;1995;415771.0;651;m
KR;npopul651m;p0p100;1996;434099.0;651;m
KR;npopul651m;p0p100;1997;458376.0;651;m
KR;npopul651m;p0p100;1998;486689.0;651;m
KR;npopul651m;p0p100;1999;520368.0;651;m
KR;npopul651m;p0p100;2000;559457.0;651;m
KR;npopul651m;p0p100;2001;601768.0;651;m
KR;npopul651m;p0p100;2002;648791.0;651;m
KR;npopul651m;p0p100;2003;695623.0;651;m
KR;npopul651m;p0p100;2004;734263.0;651;m
KR;npopul651m;p0p100;2005;761210.0;651;m
KR;npopul651m;p0p100;2006;781944.0;651;m
KR;npopul651m;p0p100;2007;793656.0;651;m
KR;npopul651m;p0p100;2008;805064.0;651;m
KR;npopul651m;p0p100;2009;821307.0;651;m
KR;npopul651m;p0p100;2010;849681.0;651;m
KR;npopul651m;p0p100;2011;889894.0;651;m
KR;npopul651m;p0p100;2012;932302.0;651;m
KR;npopul651m;p0p100;2013;970129.0;651;m
KR;npopul651m;p0p100;2014;1003374.0;651;m
KR;npopul651m;p0p100;2015;1033010.0;651;m
KR;npopul651m;p0p100;2016;1076236.0;651;m
KR;npopul651m;p0p100;2017;1122484.0;651;m
KR;npopul651m;p0p100;2018;1173177.0;651;m
KR;npopul651i;p0p100;1950;278432.0;651;i
KR;npopul651i;p0p100;1951;296399.0;651;i
KR;npopul651i;p0p100;1952;317647.0;651;i
KR;npopul651i;p0p100;1953;338613.0;651;i
KR;npopul651i;p0p100;1954;354715.0;651;i
KR;npopul651i;p0p100;1955;364041.0;651;i
KR;npopul651i;p0p100;1956;372557.0;651;i
KR;npopul651i;p0p100;1957;376418.0;651;i
KR;npopul651i;p0p100;1958;378677.0;651;i
KR;npopul651i;p0p100;1959;382934.0;651;i
KR;npopul651i;p0p100;1960;390842.0;651;i
KR;npopul651i;p0p100;1961;400301.0;651;i
KR;npopul651i;p0p100;1962;412726.0;651;i
KR;npopul651i;p0p100;1963;424507.0;651;i
KR;npopul651i;p0p100;1964;432668.0;651;i
KR;npopul651i;p0p100;1965;435359.0;651;i
KR;npopul651i;p0p100;1966;433292.0;651;i
KR;npopul651i;p0p100;1967;427007.0;651;i
KR;npopul651i;p0p100;1968;422316.0;651;i
KR;npopul651i;p0p100;1969;424932.0;651;i
KR;npopul651i;p0p100;1970;438464.0;651;i
KR;npopul651i;p0p100;1971;459873.0;651;i
KR;npopul651i;p0p100;1972;487793.0;651;i
KR;npopul651i;p0p100;1973;520121.0;651;i
KR;npopul651i;p0p100;1974;549837.0;651;i
KR;npopul651i;p0p100;1975;577333.0;651;i
KR;npopul651i;p0p100;1976;597134.0;651;i
KR;npopul651i;p0p100;1977;612157.0;651;i
KR;npopul651i;p0p100;1978;625016.0;651;i
KR;npopul651i;p0p100;1979;638607.0;651;i
KR;npopul651i;p0p100;1980;653992.0;651;i
KR;npopul651i;p0p100;1981;666636.0;651;i
KR;npopul651i;p0p100;1982;678468.0;651;i
KR;npopul651i;p0p100;1983;692120.0;651;i
KR;npopul651i;p0p100;1984;712014.0;651;i
KR;npopul651i;p0p100;1985;739471.0;651;i
KR;npopul651i;p0p100;1986;772959.0;651;i
KR;npopul651i;p0p100;1987;816528.0;651;i
KR;npopul651i;p0p100;1988;863788.0;651;i
KR;npopul651i;p0p100;1989;906252.0;651;i
KR;npopul651i;p0p100;1990;942861.0;651;i
KR;npopul651i;p0p100;1991;962916.0;651;i
KR;npopul651i;p0p100;1992;973458.0;651;i
KR;npopul651i;p0p100;1993;982167.0;651;i
KR;npopul651i;p0p100;1994;1001107.0;651;i
KR;npopul651i;p0p100;1995;1036482.0;651;i
KR;npopul651i;p0p100;1996;1079838.0;651;i
KR;npopul651i;p0p100;1997;1137757.0;651;i
KR;npopul651i;p0p100;1998;1202556.0;651;i
KR;npopul651i;p0p100;1999;1272819.0;651;i
KR;npopul651i;p0p100;2000;1346086.0;651;i
KR;npopul651i;p0p100;2001;1417351.0;651;i
KR;npopul651i;p0p100;2002;1489706.0;651;i
KR;npopul651i;p0p100;2003;1558329.0;651;i
KR;npopul651i;p0p100;2004;1614655.0;651;i
KR;npopul651i;p0p100;2005;1655893.0;651;i
KR;npopul651i;p0p100;2006;1693310.0;651;i
KR;npopul651i;p0p100;2007;1720022.0;651;i
KR;npopul651i;p0p100;2008;1749097.0;651;i
KR;npopul651i;p0p100;2009;1783380.0;651;i
KR;npopul651i;p0p100;2010;1834397.0;651;i
KR;npopul651i;p0p100;2011;1905960.0;651;i
KR;npopul651i;p0p100;2012;1977350.0;651;i
KR;npopul651i;p0p100;2013;2040826.0;651;i
KR;npopul651i;p0p100;2014;2101132.0;651;i
KR;npopul651i;p0p100;2015;2159516.0;651;i
KR;npopul651i;p0p100;2016;2244606.0;651;i
KR;npopul651i;p0p100;2017;2339446.0;651;i
KR;npopul651i;p0p100;2018;2445196.0;651;i
KR;npopul651f;p0p100;1950;156638.0;651;f
KR;npopul651f;p0p100;1951;167084.0;651;f
KR;npopul651f;p0p100;1952;179308.0;651;f
KR;npopul651f;p0p100;1953;191376.0;651;f
KR;npopul651f;p0p100;1954;200653.0;651;f
KR;npopul651f;p0p100;1955;205996.0;651;f
KR;npopul651f;p0p100;1956;210984.0;651;f
KR;npopul651f;p0p100;1957;213445.0;651;f
KR;npopul651f;p0p100;1958;214930.0;651;f
KR;npopul651f;p0p100;1959;217259.0;651;f
KR;npopul651f;p0p100;1960;221283.0;651;f
KR;npopul651f;p0p100;1961;225719.0;651;f
KR;npopul651f;p0p100;1962;231580.0;651;f
KR;npopul651f;p0p100;1963;237156.0;651;f
KR;npopul651f;p0p100;1964;241188.0;651;f
KR;npopul651f;p0p100;1965;242726.0;651;f
KR;npopul651f;p0p100;1966;242096.0;651;f
KR;npopul651f;p0p100;1967;239741.0;651;f
KR;npopul651f;p0p100;1968;238183.0;651;f
KR;npopul651f;p0p100;1969;239756.0;651;f
KR;npopul651f;p0p100;1970;246191.0;651;f
KR;npopul651f;p0p100;1971;256306.0;651;f
KR;npopul651f;p0p100;1972;269559.0;651;f
KR;npopul651f;p0p100;1973;285827.0;651;f
KR;npopul651f;p0p100;1974;302355.0;651;f
KR;npopul651f;p0p100;1975;319629.0;651;f
KR;npopul651f;p0p100;1976;333484.0;651;f
KR;npopul651f;p0p100;1977;346266.0;651;f
KR;npopul651f;p0p100;1978;358294.0;651;f
KR;npopul651f;p0p100;1979;369797.0;651;f
KR;npopul651f;p0p100;1980;380682.0;651;f
KR;npopul651f;p0p100;1981;387785.0;651;f
KR;npopul651f;p0p100;1982;393372.0;651;f
KR;npopul651f;p0p100;1983;399661.0;651;f
KR;npopul651f;p0p100;1984;410250.0;651;f
KR;npopul651f;p0p100;1985;426461.0;651;f
KR;npopul651f;p0p100;1986;446120.0;651;f
KR;npopul651f;p0p100;1987;472788.0;651;f
KR;npopul651f;p0p100;1988;502612.0;651;f
KR;npopul651f;p0p100;1989;530388.0;651;f
KR;npopul651f;p0p100;1990;555143.0;651;f
KR;npopul651f;p0p100;1991;569929.0;651;f
KR;npopul651f;p0p100;1992;579136.0;651;f
KR;npopul651f;p0p100;1993;586740.0;651;f
KR;npopul651f;p0p100;1994;599435.0;651;f
KR;npopul651f;p0p100;1995;620712.0;651;f
KR;npopul651f;p0p100;1996;645748.0;651;f
KR;npopul651f;p0p100;1997;679393.0;651;f
KR;npopul651f;p0p100;1998;715875.0;651;f
KR;npopul651f;p0p100;1999;752456.0;651;f
KR;npopul651f;p0p100;2000;786630.0;651;f
KR;npopul651f;p0p100;2001;815556.0;651;f
KR;npopul651f;p0p100;2002;840895.0;651;f
KR;npopul651f;p0p100;2003;862703.0;651;f
KR;npopul651f;p0p100;2004;880396.0;651;f
KR;npopul651f;p0p100;2005;894681.0;651;f
KR;npopul651f;p0p100;2006;911392.0;651;f
KR;npopul651f;p0p100;2007;926402.0;651;f
KR;npopul651f;p0p100;2008;944064.0;651;f
KR;npopul651f;p0p100;2009;962090.0;651;f
KR;npopul651f;p0p100;2010;984716.0;651;f
KR;npopul651f;p0p100;2011;1016065.0;651;f
KR;npopul651f;p0p100;2012;1045047.0;651;f
KR;npopul651f;p0p100;2013;1070695.0;651;f
KR;npopul651f;p0p100;2014;1097755.0;651;f
KR;npopul651f;p0p100;2015;1126508.0;651;f
KR;npopul651f;p0p100;2016;1168364.0;651;f
KR;npopul651f;p0p100;2017;1216955.0;651;f
KR;npopul651f;p0p100;2018;1272014.0;651;f
KR;npopul602m;p0p100;1950;336067.0;602;m
KR;npopul602m;p0p100;1951;346755.0;602;m
KR;npopul602m;p0p100;1952;356708.0;602;m
KR;npopul602m;p0p100;1953;365455.0;602;m
KR;npopul602m;p0p100;1954;372739.0;602;m
KR;npopul602m;p0p100;1955;378569.0;602;m
KR;npopul602m;p0p100;1956;387059.0;602;m
KR;npopul602m;p0p100;1957;395132.0;602;m
KR;npopul602m;p0p100;1958;402993.0;602;m
KR;npopul602m;p0p100;1959;410368.0;602;m
KR;npopul602m;p0p100;1960;417189.0;602;m
KR;npopul602m;p0p100;1961;421388.0;602;m
KR;npopul602m;p0p100;1962;424319.0;602;m
KR;npopul602m;p0p100;1963;426949.0;602;m
KR;npopul602m;p0p100;1964;432682.0;602;m
KR;npopul602m;p0p100;1965;442500.0;602;m
KR;npopul602m;p0p100;1966;454281.0;602;m
KR;npopul602m;p0p100;1967;469653.0;602;m
KR;npopul602m;p0p100;1968;488452.0;602;m
KR;npopul602m;p0p100;1969;507827.0;602;m
KR;npopul602m;p0p100;1970;527178.0;602;m
KR;npopul602m;p0p100;1971;543363.0;602;m
KR;npopul602m;p0p100;1972;557402.0;602;m
KR;npopul602m;p0p100;1973;572100.0;602;m
KR;npopul602m;p0p100;1974;585771.0;602;m
KR;npopul602m;p0p100;1975;601710.0;602;m
KR;npopul602m;p0p100;1976;612783.0;602;m
KR;npopul602m;p0p100;1977;620695.0;602;m
KR;npopul602m;p0p100;1978;628980.0;602;m
KR;npopul602m;p0p100;1979;641715.0;602;m
KR;npopul602m;p0p100;1980;660335.0;602;m
KR;npopul602m;p0p100;1981;681284.0;602;m
KR;npopul602m;p0p100;1982;706379.0;602;m
KR;npopul602m;p0p100;1983;732896.0;602;m
KR;npopul602m;p0p100;1984;757350.0;602;m
KR;npopul602m;p0p100;1985;777118.0;602;m
KR;npopul602m;p0p100;1986;793840.0;602;m
KR;npopul602m;p0p100;1987;809255.0;602;m
KR;npopul602m;p0p100;1988;825223.0;602;m
KR;npopul602m;p0p100;1989;844924.0;602;m
KR;npopul602m;p0p100;1990;873267.0;602;m
KR;npopul602m;p0p100;1991;898875.0;602;m
KR;npopul602m;p0p100;1992;926892.0;602;m
KR;npopul602m;p0p100;1993;959889.0;602;m
KR;npopul602m;p0p100;1994;1002431.0;602;m
KR;npopul602m;p0p100;1995;1056409.0;602;m
KR;npopul602m;p0p100;1996;1115707.0;602;m
KR;npopul602m;p0p100;1997;1187051.0;602;m
KR;npopul602m;p0p100;1998;1261123.0;602;m
KR;npopul602m;p0p100;1999;1334517.0;602;m
KR;npopul602m;p0p100;2000;1404033.0;602;m
