country;variable;percentile;year;value;age;pop
TJ;xlcyup999i;p0p100;1985;7.0024e-06;999;i
TJ;xlcyup999i;p0p100;1986;6.3686e-06;999;i
TJ;xlcyup999i;p0p100;1987;6.2992e-06;999;i
TJ;xlcyup999i;p0p100;1988;5.3084e-06;999;i
TJ;xlcyup999i;p0p100;1989;4.8041e-06;999;i
TJ;xlcyup999i;p0p100;1990;4.5066e-06;999;i
TJ;xlcyup999i;p0p100;1991;8.5872e-06;999;i
TJ;xlcyup999i;p0p100;1992;5.31438e-05;999;i
TJ;xlcyup999i;p0p100;1993;0.0005492342;999;i
TJ;xlcyup999i;p0p100;1994;0.001391742;999;i
TJ;xlcyup999i;p0p100;1995;0.0051832381;999;i
TJ;xlcyup999i;p0p100;1996;0.024919691;999;i
TJ;xlcyup999i;p0p100;1997;0.038672242;999;i
TJ;xlcyup999i;p0p100;1998;0.072118729;999;i
TJ;xlcyup999i;p0p100;1999;0.090211481;999;i
TJ;xlcyup999i;p0p100;2000;0.10481063;999;i
TJ;xlcyup999i;p0p100;2001;0.13485903;999;i
TJ;xlcyup999i;p0p100;2002;0.16008811;999;i
TJ;xlcyup999i;p0p100;2003;0.19644187;999;i
TJ;xlcyup999i;p0p100;2004;0.21643139;999;i
TJ;xlcyup999i;p0p100;2005;0.2273321;999;i
TJ;xlcyup999i;p0p100;2006;0.26719391;999;i
TJ;xlcyup999i;p0p100;2007;0.31673428;999;i
TJ;xlcyup999i;p0p100;2008;0.37767693;999;i
TJ;xlcyup999i;p0p100;2009;0.42910731;999;i
TJ;xlcyup999i;p0p100;2010;0.45123786;999;i
TJ;xlcyup999i;p0p100;2011;0.49622241;999;i
TJ;xlcyup999i;p0p100;2012;0.54669696;999;i
TJ;xlcyup999i;p0p100;2013;0.55946326;999;i
TJ;xlcyup999i;p0p100;2014;0.58743888;999;i
TJ;xlcyup999i;p0p100;2015;0.59201002;999;i
TJ;xlcyup999i;p0p100;2016;0.62676829;999;i
TJ;xlcyup999i;p0p100;2017;0.66040313;999;i
TJ;xlcyup999i;p0p100;2018;0.69661069;999;i
TJ;xlcyux999i;p0p100;1992;0.0004476338;999;i
TJ;xlcyux999i;p0p100;1993;0.0017975495;999;i
TJ;xlcyux999i;p0p100;1994;0.0028419863;999;i
TJ;xlcyux999i;p0p100;1995;0.014711121;999;i
TJ;xlcyux999i;p0p100;1996;0.035541713;999;i
TJ;xlcyux999i;p0p100;1997;0.067834228;999;i
TJ;xlcyux999i;p0p100;1998;0.093807086;999;i
TJ;xlcyux999i;p0p100;1999;0.14952335;999;i
TJ;xlcyux999i;p0p100;2000;0.25080013;999;i
TJ;xlcyux999i;p0p100;2001;0.28659806;999;i
TJ;xlcyux999i;p0p100;2002;0.33395523;999;i
TJ;xlcyux999i;p0p100;2003;0.36986262;999;i
TJ;xlcyux999i;p0p100;2004;0.35889569;999;i
TJ;xlcyux999i;p0p100;2005;0.38033271;999;i
TJ;xlcyux999i;p0p100;2006;0.41367453;999;i
TJ;xlcyux999i;p0p100;2007;0.45250985;999;i
TJ;xlcyux999i;p0p100;2008;0.49372506;999;i
TJ;xlcyux999i;p0p100;2009;0.60642016;999;i
TJ;xlcyux999i;p0p100;2010;0.6467936;999;i
TJ;xlcyux999i;p0p100;2011;0.71348923;999;i
TJ;xlcyux999i;p0p100;2012;0.75054801;999;i
TJ;xlcyux999i;p0p100;2013;0.76895076;999;i
TJ;xlcyux999i;p0p100;2014;0.80371445;999;i
TJ;xlcyux999i;p0p100;2015;0.98966324;999;i
TJ;xlcyux999i;p0p100;2016;1.1792762;999;i
TJ;xlcyux999i;p0p100;2017;1.2649876;999;i
TJ;xlcyux999i;p0p100;2018;1.3819664;999;i
TJ;xlcusx999i;p0p100;1992;0.002468518;999;i
TJ;xlcusx999i;p0p100;1993;0.010357405;999;i
TJ;xlcusx999i;p0p100;1994;0.024494348;999;i
TJ;xlcusx999i;p0p100;1995;0.1228587;999;i
TJ;xlcusx999i;p0p100;1996;0.29550001;999;i
TJ;xlcusx999i;p0p100;1997;0.56233335;999;i
TJ;xlcusx999i;p0p100;1998;0.77662498;999;i
TJ;xlcusx999i;p0p100;1999;1.2377917;999;i
TJ;xlcusx999i;p0p100;2000;2.0762501;999;i
TJ;xlcusx999i;p0p100;2001;2.3721917;999;i
TJ;xlcusx999i;p0p100;2002;2.7641332;999;i
TJ;xlcusx999i;p0p100;2003;3.0613666;999;i
TJ;xlcusx999i;p0p100;2004;2.9705083;999;i
TJ;xlcusx999i;p0p100;2005;3.1165667;999;i
TJ;xlcusx999i;p0p100;2006;3.2984083;999;i
TJ;xlcusx999i;p0p100;2007;3.4424834;999;i
TJ;xlcusx999i;p0p100;2008;3.4307251;999;i
TJ;xlcusx999i;p0p100;2009;4.1427083;999;i
TJ;xlcusx999i;p0p100;2010;4.3789668;999;i
TJ;xlcusx999i;p0p100;2011;4.6101832;999;i
TJ;xlcusx999i;p0p100;2012;4.7377086;999;i
TJ;xlcusx999i;p0p100;2013;4.7642331;999;i
TJ;xlcusx999i;p0p100;2014;4.9375668;999;i
TJ;xlcusx999i;p0p100;2015;6.1631165;999;i
TJ;xlcusx999i;p0p100;2016;7.8356748;999;i
TJ;xlcusx999i;p0p100;2017;8.5497417;999;i
TJ;xlcusx999i;p0p100;2018;8.8212004;999;i
TJ;xlcusp999i;p0p100;1985;5.8668e-06;999;i
TJ;xlcusp999i;p0p100;1986;5.5173e-06;999;i
TJ;xlcusp999i;p0p100;1987;5.6904e-06;999;i
TJ;xlcusp999i;p0p100;1988;5.3513e-06;999;i
TJ;xlcusp999i;p0p100;1989;5.5124e-06;999;i
TJ;xlcusp999i;p0p100;1990;5.6337e-06;999;i
TJ;xlcusp999i;p0p100;1991;1.07472e-05;999;i
TJ;xlcusp999i;p0p100;1992;7.10084e-05;999;i
TJ;xlcusp999i;p0p100;1993;0.0009081872;999;i
TJ;xlcusp999i;p0p100;1994;0.0028529812;999;i
TJ;xlcusp999i;p0p100;1995;0.012467219;999;i
TJ;xlcusp999i;p0p100;1996;0.064853825;999;i
TJ;xlcusp999i;p0p100;1997;0.10512827;999;i
TJ;xlcusp999i;p0p100;1998;0.19493493;999;i
TJ;xlcusp999i;p0p100;1999;0.24278684;999;i
TJ;xlcusp999i;p0p100;2000;0.29422426;999;i
TJ;xlcusp999i;p0p100;2001;0.37591359;999;i
TJ;xlcusp999i;p0p100;2002;0.43867418;999;i
TJ;xlcusp999i;p0p100;2003;0.54485363;999;i
TJ;xlcusp999i;p0p100;2004;0.62269527;999;i
TJ;xlcusp999i;p0p100;2005;0.66164196;999;i
TJ;xlcusp999i;p0p100;2006;0.7808826;999;i
TJ;xlcusp999i;p0p100;2007;0.96868253;999;i
TJ;xlcusp999i;p0p100;2008;1.2205501;999;i
TJ;xlcusp999i;p0p100;2009;1.3513608;999;i
TJ;xlcusp999i;p0p100;2010;1.4953316;999;i
TJ;xlcusp999i;p0p100;2011;1.7395256;999;i
TJ;xlcusp999i;p0p100;2012;1.9088141;999;i
TJ;xlcusp999i;p0p100;2013;1.9592782;999;i
TJ;xlcusp999i;p0p100;2014;2.0316784;999;i
TJ;xlcusp999i;p0p100;2015;2.0127654;999;i
TJ;xlcusp999i;p0p100;2016;2.0950711;999;i
TJ;xlcusp999i;p0p100;2017;2.1531506;999;i
TJ;xlcusp999i;p0p100;2018;2.2076004;999;i
TJ;xlceux999i;p0p100;1999;1.3187253;999;i
TJ;xlceux999i;p0p100;2000;1.9128879;999;i
TJ;xlceux999i;p0p100;2001;2.1227477;999;i
TJ;xlceux999i;p0p100;2002;2.6014109;999;i
TJ;xlceux999i;p0p100;2003;3.4551337;999;i
TJ;xlceux999i;p0p100;2004;3.6884;999;i
TJ;xlceux999i;p0p100;2005;3.8757482;999;i
TJ;xlceux999i;p0p100;2006;4.1377988;999;i
TJ;xlceux999i;p0p100;2007;4.711616;999;i
TJ;xlceux999i;p0p100;2008;5.0254169;999;i
TJ;xlceux999i;p0p100;2009;5.7550135;999;i
TJ;xlceux999i;p0p100;2010;5.7996106;999;i
TJ;xlceux999i;p0p100;2011;6.4087715;999;i
TJ;xlceux999i;p0p100;2012;6.0873022;999;i
TJ;xlceux999i;p0p100;2013;6.325666;999;i
TJ;xlceux999i;p0p100;2014;6.5508366;999;i
TJ;xlceux999i;p0p100;2015;6.8353076;999;i
TJ;xlceux999i;p0p100;2016;8.6674452;999;i
TJ;xlceux999i;p0p100;2017;9.6346254;999;i
TJ;xlceux999i;p0p100;2018;10.813252;999;i
TJ;xlceup999i;p0p100;1995;0.014809995;999;i
TJ;xlceup999i;p0p100;1996;0.076643199;999;i
TJ;xlceup999i;p0p100;1997;0.12692365;999;i
TJ;xlceup999i;p0p100;1998;0.23593344;999;i
TJ;xlceup999i;p0p100;1999;0.29372683;999;i
TJ;xlceup999i;p0p100;2000;0.35924438;999;i
TJ;xlceup999i;p0p100;2001;0.45927715;999;i
TJ;xlceup999i;p0p100;2002;0.53234094;999;i
TJ;xlceup999i;p0p100;2003;0.6611802;999;i
TJ;xlceup999i;p0p100;2004;0.76219982;999;i
TJ;xlceup999i;p0p100;2005;0.81887835;999;i
TJ;xlceup999i;p0p100;2006;0.97594011;999;i
TJ;xlceup999i;p0p100;2007;1.2140359;999;i
TJ;xlceup999i;p0p100;2008;1.5291978;999;i
TJ;xlceup999i;p0p100;2009;1.6962447;999;i
TJ;xlceup999i;p0p100;2010;1.8945155;999;i
TJ;xlceup999i;p0p100;2011;2.2290492;999;i
TJ;xlceup999i;p0p100;2012;2.4608467;999;i
TJ;xlceup999i;p0p100;2013;2.5358543;999;i
TJ;xlceup999i;p0p100;2014;2.6508479;999;i
TJ;xlceup999i;p0p100;2015;2.6184256;999;i
TJ;xlceup999i;p0p100;2016;2.7311382;999;i
TJ;xlceup999i;p0p100;2017;2.8303039;999;i
TJ;xlceup999i;p0p100;2018;2.9270077;999;i
TJ;npopul999m;p0p100;1950;741178.0;999;m
TJ;npopul999m;p0p100;1951;767195.0;999;m
TJ;npopul999m;p0p100;1952;793038.0;999;m
TJ;npopul999m;p0p100;1953;818695.0;999;m
TJ;npopul999m;p0p100;1954;844251.0;999;m
TJ;npopul999m;p0p100;1955;869918.0;999;m
TJ;npopul999m;p0p100;1956;896037.0;999;m
TJ;npopul999m;p0p100;1957;923065.0;999;m
TJ;npopul999m;p0p100;1958;951537.0;999;m
TJ;npopul999m;p0p100;1959;982049.0;999;m
TJ;npopul999m;p0p100;1960;1015094.0;999;m
TJ;npopul999m;p0p100;1961;1050915.0;999;m
TJ;npopul999m;p0p100;1962;1089396.0;999;m
TJ;npopul999m;p0p100;1963;1130009.0;999;m
TJ;npopul999m;p0p100;1964;1171925.0;999;m
TJ;npopul999m;p0p100;1965;1214522.0;999;m
TJ;npopul999m;p0p100;1966;1257691.0;999;m
TJ;npopul999m;p0p100;1967;1301515.0;999;m
TJ;npopul999m;p0p100;1968;1345855.0;999;m
TJ;npopul999m;p0p100;1969;1390584.0;999;m
TJ;npopul999m;p0p100;1970;1435629.0;999;m
TJ;npopul999m;p0p100;1971;1480982.0;999;m
TJ;npopul999m;p0p100;1972;1526684.0;999;m
TJ;npopul999m;p0p100;1973;1572866.0;999;m
TJ;npopul999m;p0p100;1974;1619695.0;999;m
TJ;npopul999m;p0p100;1975;1667379.0;999;m
TJ;npopul999m;p0p100;1976;1715909.0;999;m
TJ;npopul999m;p0p100;1977;1765449.0;999;m
TJ;npopul999m;p0p100;1978;1816556.0;999;m
TJ;npopul999m;p0p100;1979;1869947.0;999;m
TJ;npopul999m;p0p100;1980;1926122.0;999;m
TJ;npopul999m;p0p100;1981;1984907.0;999;m
TJ;npopul999m;p0p100;1982;2046094.0;999;m
TJ;npopul999m;p0p100;1983;2110084.0;999;m
TJ;npopul999m;p0p100;1984;2177368.0;999;m
TJ;npopul999m;p0p100;1985;2248008.0;999;m
TJ;npopul999m;p0p100;1986;2322472.0;999;m
TJ;npopul999m;p0p100;1987;2399892.0;999;m
TJ;npopul999m;p0p100;1988;2477462.0;999;m
TJ;npopul999m;p0p100;1989;2551430.0;999;m
TJ;npopul999m;p0p100;1990;2619151.0;999;m
TJ;npopul999m;p0p100;1991;2679659.0;999;m
TJ;npopul999m;p0p100;1992;2733812.0;999;m
TJ;npopul999m;p0p100;1993;2783134.0;999;m
TJ;npopul999m;p0p100;1994;2829989.0;999;m
TJ;npopul999m;p0p100;1995;2876271.0;999;m
TJ;npopul999m;p0p100;1996;2922414.0;999;m
TJ;npopul999m;p0p100;1997;2968364.0;999;m
TJ;npopul999m;p0p100;1998;3014982.0;999;m
TJ;npopul999m;p0p100;1999;3063180.0;999;m
TJ;npopul999m;p0p100;2000;3113723.0;999;m
TJ;npopul999m;p0p100;2001;3167147.0;999;m
TJ;npopul999m;p0p100;2002;3223702.0;999;m
TJ;npopul999m;p0p100;2003;3283545.0;999;m
TJ;npopul999m;p0p100;2004;3346676.0;999;m
TJ;npopul999m;p0p100;2005;3413086.0;999;m
TJ;npopul999m;p0p100;2006;3482964.0;999;m
TJ;npopul999m;p0p100;2007;3556467.0;999;m
TJ;npopul999m;p0p100;2008;3633536.0;999;m
TJ;npopul999m;p0p100;2009;3714033.0;999;m
TJ;npopul999m;p0p100;2010;3797838.0;999;m
TJ;npopul999m;p0p100;2011;3884696.0;999;m
TJ;npopul999m;p0p100;2012;3974544.0;999;m
TJ;npopul999m;p0p100;2013;4067689.0;999;m
TJ;npopul999m;p0p100;2014;4164564.0;999;m
TJ;npopul999m;p0p100;2015;4265336.0;999;m
TJ;npopul999m;p0p100;2016;4370133.0;999;m
TJ;npopul999m;p0p100;2017;4478318.0;999;m
TJ;npopul999m;p0p100;2018;4588298.0;999;m
TJ;npopul999i;p0p100;1950;1531501.0;999;i
TJ;npopul999i;p0p100;1951;1584989.0;999;i
TJ;npopul999i;p0p100;1952;1637950.0;999;i
TJ;npopul999i;p0p100;1953;1690341.0;999;i
TJ;npopul999i;p0p100;1954;1742349.0;999;i
TJ;npopul999i;p0p100;1955;1794416.0;999;i
TJ;npopul999i;p0p100;1956;1847249.0;999;i
TJ;npopul999i;p0p100;1957;1901775.0;999;i
TJ;npopul999i;p0p100;1958;1959143.0;999;i
TJ;npopul999i;p0p100;1959;2020560.0;999;i
TJ;npopul999i;p0p100;1960;2087049.0;999;i
TJ;npopul999i;p0p100;1961;2159134.0;999;i
TJ;npopul999i;p0p100;1962;2236574.0;999;i
TJ;npopul999i;p0p100;1963;2318248.0;999;i
TJ;npopul999i;p0p100;1964;2402477.0;999;i
TJ;npopul999i;p0p100;1965;2487976.0;999;i
TJ;npopul999i;p0p100;1966;2574511.0;999;i
TJ;npopul999i;p0p100;1967;2662253.0;999;i
TJ;npopul999i;p0p100;1968;2750928.0;999;i
TJ;npopul999i;p0p100;1969;2840262.0;999;i
TJ;npopul999i;p0p100;1970;2930107.0;999;i
TJ;npopul999i;p0p100;1971;3020413.0;999;i
TJ;npopul999i;p0p100;1972;3111282.0;999;i
TJ;npopul999i;p0p100;1973;3203029.0;999;i
TJ;npopul999i;p0p100;1974;3296103.0;999;i
TJ;npopul999i;p0p100;1975;3390941.0;999;i
TJ;npopul999i;p0p100;1976;3487652.0;999;i
TJ;npopul999i;p0p100;1977;3586515.0;999;i
TJ;npopul999i;p0p100;1978;3688419.0;999;i
TJ;npopul999i;p0p100;1979;3794451.0;999;i
TJ;npopul999i;p0p100;1980;3905446.0;999;i
TJ;npopul999i;p0p100;1981;4020821.0;999;i
TJ;npopul999i;p0p100;1982;4140295.0;999;i
TJ;npopul999i;p0p100;1983;4265274.0;999;i
TJ;npopul999i;p0p100;1984;4397562.0;999;i
TJ;npopul999i;p0p100;1985;4537822.0;999;i
TJ;npopul999i;p0p100;1986;4687325.0;999;i
TJ;npopul999i;p0p100;1987;4844002.0;999;i
TJ;npopul999i;p0p100;1988;5001169.0;999;i
TJ;npopul999i;p0p100;1989;5149874.0;999;i
TJ;npopul999i;p0p100;1990;5283814.0;999;i
TJ;npopul999i;p0p100;1991;5400630.0;999;i
TJ;npopul999i;p0p100;1992;5502494.0;999;i
TJ;npopul999i;p0p100;1993;5593315.0;999;i
TJ;npopul999i;p0p100;1994;5679167.0;999;i
TJ;npopul999i;p0p100;1995;5764810.0;999;i
TJ;npopul999i;p0p100;1996;5851355.0;999;i
TJ;npopul999i;p0p100;1997;5938405.0;999;i
TJ;npopul999i;p0p100;1998;6027388.0;999;i
TJ;npopul999i;p0p100;1999;6119661.0;999;i
TJ;npopul999i;p0p100;2000;6216341.0;999;i
TJ;npopul999i;p0p100;2001;6318513.0;999;i
TJ;npopul999i;p0p100;2002;6426867.0;999;i
TJ;npopul999i;p0p100;2003;6541547.0;999;i
TJ;npopul999i;p0p100;2004;6662389.0;999;i
TJ;npopul999i;p0p100;2005;6789321.0;999;i
TJ;npopul999i;p0p100;2006;6922587.0;999;i
TJ;npopul999i;p0p100;2007;7062672.0;999;i
TJ;npopul999i;p0p100;2008;7209930.0;999;i
TJ;npopul999i;p0p100;2009;7364753.0;999;i
TJ;npopul999i;p0p100;2010;7527394.0;999;i
TJ;npopul999i;p0p100;2011;7697510.0;999;i
TJ;npopul999i;p0p100;2012;7874835.0;999;i
TJ;npopul999i;p0p100;2013;8059769.0;999;i
TJ;npopul999i;p0p100;2014;8252833.0;999;i
TJ;npopul999i;p0p100;2015;8454028.0;999;i
TJ;npopul999i;p0p100;2016;8663579.0;999;i
TJ;npopul999i;p0p100;2017;8880268.0;999;i
TJ;npopul999i;p0p100;2018;9100835.0;999;i
TJ;npopul999f;p0p100;1950;790329.0;999;f
TJ;npopul999f;p0p100;1951;817800.0;999;f
TJ;npopul999f;p0p100;1952;844912.0;999;f
TJ;npopul999f;p0p100;1953;871646.0;999;f
TJ;npopul999f;p0p100;1954;898094.0;999;f
TJ;npopul999f;p0p100;1955;924498.0;999;f
TJ;npopul999f;p0p100;1956;951214.0;999;f
TJ;npopul999f;p0p100;1957;978711.0;999;f
TJ;npopul999f;p0p100;1958;1007600.0;999;f
TJ;npopul999f;p0p100;1959;1038509.0;999;f
TJ;npopul999f;p0p100;1960;1071959.0;999;f
TJ;npopul999f;p0p100;1961;1108219.0;999;f
TJ;npopul999f;p0p100;1962;1147168.0;999;f
TJ;npopul999f;p0p100;1963;1188243.0;999;f
TJ;npopul999f;p0p100;1964;1230548.0;999;f
TJ;npopul999f;p0p100;1965;1273453.0;999;f
TJ;npopul999f;p0p100;1966;1316815.0;999;f
TJ;npopul999f;p0p100;1967;1360742.0;999;f
TJ;npopul999f;p0p100;1968;1405077.0;999;f
TJ;npopul999f;p0p100;1969;1449681.0;999;f
TJ;npopul999f;p0p100;1970;1494479.0;999;f
TJ;npopul999f;p0p100;1971;1539437.0;999;f
TJ;npopul999f;p0p100;1972;1584600.0;999;f
TJ;npopul999f;p0p100;1973;1630169.0;999;f
TJ;npopul999f;p0p100;1974;1676397.0;999;f
TJ;npopul999f;p0p100;1975;1723562.0;999;f
TJ;npopul999f;p0p100;1976;1771749.0;999;f
TJ;npopul999f;p0p100;1977;1821067.0;999;f
TJ;npopul999f;p0p100;1978;1871855.0;999;f
TJ;npopul999f;p0p100;1979;1924510.0;999;f
TJ;npopul999f;p0p100;1980;1979321.0;999;f
TJ;npopul999f;p0p100;1981;2035911.0;999;f
TJ;npopul999f;p0p100;1982;2094203.0;999;f
TJ;npopul999f;p0p100;1983;2155194.0;999;f
TJ;npopul999f;p0p100;1984;2220195.0;999;f
TJ;npopul999f;p0p100;1985;2289812.0;999;f
TJ;npopul999f;p0p100;1986;2364856.0;999;f
TJ;npopul999f;p0p100;1987;2444105.0;999;f
TJ;npopul999f;p0p100;1988;2523710.0;999;f
TJ;npopul999f;p0p100;1989;2598442.0;999;f
TJ;npopul999f;p0p100;1990;2664660.0;999;f
TJ;npopul999f;p0p100;1991;2720977.0;999;f
TJ;npopul999f;p0p100;1992;2768678.0;999;f
TJ;npopul999f;p0p100;1993;2810183.0;999;f
TJ;npopul999f;p0p100;1994;2849180.0;999;f
TJ;npopul999f;p0p100;1995;2888535.0;999;f
TJ;npopul999f;p0p100;1996;2928940.0;999;f
TJ;npopul999f;p0p100;1997;2970040.0;999;f
TJ;npopul999f;p0p100;1998;3012413.0;999;f
TJ;npopul999f;p0p100;1999;3056484.0;999;f
TJ;npopul999f;p0p100;2000;3102606.0;999;f
TJ;npopul999f;p0p100;2001;3151363.0;999;f
TJ;npopul999f;p0p100;2002;3203159.0;999;f
TJ;npopul999f;p0p100;2003;3258005.0;999;f
TJ;npopul999f;p0p100;2004;3315715.0;999;f
TJ;npopul999f;p0p100;2005;3376232.0;999;f
TJ;npopul999f;p0p100;2006;3439626.0;999;f
TJ;npopul999f;p0p100;2007;3506200.0;999;f
TJ;npopul999f;p0p100;2008;3576388.0;999;f
TJ;npopul999f;p0p100;2009;3650719.0;999;f
TJ;npopul999f;p0p100;2010;3729559.0;999;f
TJ;npopul999f;p0p100;2011;3812811.0;999;f
TJ;npopul999f;p0p100;2012;3900294.0;999;f
TJ;npopul999f;p0p100;2013;3992093.0;999;f
TJ;npopul999f;p0p100;2014;4088264.0;999;f
TJ;npopul999f;p0p100;2015;4188683.0;999;f
TJ;npopul999f;p0p100;2016;4293442.0;999;f
TJ;npopul999f;p0p100;2017;4401952.0;999;f
TJ;npopul999f;p0p100;2018;4512549.0;999;f
TJ;npopul998m;p0p100;1950;3149.0;998;m
TJ;npopul998m;p0p100;1951;3367.0;998;m
TJ;npopul998m;p0p100;1952;3587.0;998;m
TJ;npopul998m;p0p100;1953;3825.0;998;m
TJ;npopul998m;p0p100;1954;4045.0;998;m
TJ;npopul998m;p0p100;1955;4210.0;998;m
TJ;npopul998m;p0p100;1956;4497.0;998;m
TJ;npopul998m;p0p100;1957;4763.0;998;m
TJ;npopul998m;p0p100;1958;5010.0;998;m
TJ;npopul998m;p0p100;1959;5226.0;998;m
TJ;npopul998m;p0p100;1960;5369.0;998;m
TJ;npopul998m;p0p100;1961;5755.0;998;m
TJ;npopul998m;p0p100;1962;6072.0;998;m
TJ;npopul998m;p0p100;1963;6380.0;998;m
TJ;npopul998m;p0p100;1964;6725.0;998;m
TJ;npopul998m;p0p100;1965;7068.0;998;m
TJ;npopul998m;p0p100;1966;7676.0;998;m
TJ;npopul998m;p0p100;1967;8264.0;998;m
TJ;npopul998m;p0p100;1968;8802.0;998;m
TJ;npopul998m;p0p100;1969;9172.0;998;m
TJ;npopul998m;p0p100;1970;9298.0;998;m
TJ;npopul998m;p0p100;1971;9677.0;998;m
TJ;npopul998m;p0p100;1972;9975.0;998;m
TJ;npopul998m;p0p100;1973;10321.0;998;m
TJ;npopul998m;p0p100;1974;10704.0;998;m
TJ;npopul998m;p0p100;1975;10976.0;998;m
TJ;npopul998m;p0p100;1976;11317.0;998;m
TJ;npopul998m;p0p100;1977;11688.0;998;m
TJ;npopul998m;p0p100;1978;12298.0;998;m
TJ;npopul998m;p0p100;1979;13210.0;998;m
TJ;npopul998m;p0p100;1980;14269.0;998;m
TJ;npopul998m;p0p100;1981;15019.0;998;m
TJ;npopul998m;p0p100;1982;15706.0;998;m
TJ;npopul998m;p0p100;1983;16411.0;998;m
TJ;npopul998m;p0p100;1984;17022.0;998;m
TJ;npopul998m;p0p100;1985;17327.0;998;m
TJ;npopul998m;p0p100;1986;17456.0;998;m
TJ;npopul998m;p0p100;1987;17259.0;998;m
TJ;npopul998m;p0p100;1988;16979.0;998;m
TJ;npopul998m;p0p100;1989;16714.0;998;m
TJ;npopul998m;p0p100;1990;16357.0;998;m
TJ;npopul998m;p0p100;1991;16484.0;998;m
TJ;npopul998m;p0p100;1992;16212.0;998;m
TJ;npopul998m;p0p100;1993;15518.0;998;m
TJ;npopul998m;p0p100;1994;14306.0;998;m
TJ;npopul998m;p0p100;1995;12564.0;998;m
TJ;npopul998m;p0p100;1996;12236.0;998;m
TJ;npopul998m;p0p100;1997;11607.0;998;m
TJ;npopul998m;p0p100;1998;10757.0;998;m
TJ;npopul998m;p0p100;1999;9776.0;998;m
TJ;npopul998m;p0p100;2000;8727.0;998;m
TJ;npopul998m;p0p100;2001;9110.0;998;m
TJ;npopul998m;p0p100;2002;9507.0;998;m
TJ;npopul998m;p0p100;2003;10090.0;998;m
TJ;npopul998m;p0p100;2004;11035.0;998;m
TJ;npopul998m;p0p100;2005;12307.0;998;m
TJ;npopul998m;p0p100;2006;14384.0;998;m
TJ;npopul998m;p0p100;2007;16609.0;998;m
TJ;npopul998m;p0p100;2008;18699.0;998;m
TJ;npopul998m;p0p100;2009;20285.0;998;m
TJ;npopul998m;p0p100;2010;21200.0;998;m
TJ;npopul998m;p0p100;2011;21906.0;998;m
TJ;npopul998m;p0p100;2012;21753.0;998;m
TJ;npopul998m;p0p100;2013;20948.0;998;m
TJ;npopul998m;p0p100;2014;19758.0;998;m
TJ;npopul998m;p0p100;2015;18269.0;998;m
TJ;npopul998m;p0p100;2016;19360.0;998;m
TJ;npopul998m;p0p100;2017;20267.0;998;m
TJ;npopul998m;p0p100;2018;20639.0;998;m
TJ;npopul998f;p0p100;1950;3245.0;998;f
TJ;npopul998f;p0p100;1951;3482.0;998;f
TJ;npopul998f;p0p100;1952;3780.0;998;f
TJ;npopul998f;p0p100;1953;4136.0;998;f
TJ;npopul998f;p0p100;1954;4502.0;998;f
TJ;npopul998f;p0p100;1955;4838.0;998;f
TJ;npopul998f;p0p100;1956;5196.0;998;f
TJ;npopul998f;p0p100;1957;5533.0;998;f
TJ;npopul998f;p0p100;1958;5885.0;998;f
TJ;npopul998f;p0p100;1959;6250.0;998;f
TJ;npopul998f;p0p100;1960;6598.0;998;f
TJ;npopul998f;p0p100;1961;7056.0;998;f
TJ;npopul998f;p0p100;1962;7470.0;998;f
TJ;npopul998f;p0p100;1963;7954.0;998;f
TJ;npopul998f;p0p100;1964;8567.0;998;f
TJ;npopul998f;p0p100;1965;9278.0;998;f
TJ;npopul998f;p0p100;1966;10122.0;998;f
TJ;npopul998f;p0p100;1967;11042.0;998;f
TJ;npopul998f;p0p100;1968;11956.0;998;f
TJ;npopul998f;p0p100;1969;12668.0;998;f
TJ;npopul998f;p0p100;1970;13042.0;998;f
TJ;npopul998f;p0p100;1971;13377.0;998;f
TJ;npopul998f;p0p100;1972;13684.0;998;f
TJ;npopul998f;p0p100;1973;14238.0;998;f
TJ;npopul998f;p0p100;1974;15059.0;998;f
TJ;npopul998f;p0p100;1975;15886.0;998;f
TJ;npopul998f;p0p100;1976;16208.0;998;f
TJ;npopul998f;p0p100;1977;16442.0;998;f
TJ;npopul998f;p0p100;1978;16883.0;998;f
TJ;npopul998f;p0p100;1979;17665.0;998;f
TJ;npopul998f;p0p100;1980;18660.0;998;f
TJ;npopul998f;p0p100;1981;19660.0;998;f
TJ;npopul998f;p0p100;1982;20728.0;998;f
TJ;npopul998f;p0p100;1983;21973.0;998;f
TJ;npopul998f;p0p100;1984;23256.0;998;f
TJ;npopul998f;p0p100;1985;24292.0;998;f
TJ;npopul998f;p0p100;1986;24821.0;998;f
TJ;npopul998f;p0p100;1987;24997.0;998;f
TJ;npopul998f;p0p100;1988;25121.0;998;f
TJ;npopul998f;p0p100;1989;25297.0;998;f
TJ;npopul998f;p0p100;1990;25397.0;998;f
TJ;npopul998f;p0p100;1991;25863.0;998;f
TJ;npopul998f;p0p100;1992;25837.0;998;f
TJ;npopul998f;p0p100;1993;25323.0;998;f
TJ;npopul998f;p0p100;1994;24220.0;998;f
TJ;npopul998f;p0p100;1995;22437.0;998;f
TJ;npopul998f;p0p100;1996;22241.0;998;f
TJ;npopul998f;p0p100;1997;21446.0;998;f
TJ;npopul998f;p0p100;1998;20220.0;998;f
TJ;npopul998f;p0p100;1999;18781.0;998;f
